LnID,DID,BLID,FLID,BNID,FNID,JCT,BLID2,BLID3,BLID4,FLID2,FLID3,FLID4,ClossID,Span,LCnt,Lno,LaneType,LimitVel,RefVel,RoadSecID,LaneChgFG,LinkWAID
1,19,0,1571,1,2,0,0,0,0,0,0,0,0,1.085,1,1,0,20,20,0,0,0
24,20,1574,25,24,25,0,0,0,0,0,0,0,0,1.094,1,1,0,20,20,0,0,0
25,20,24,26,25,26,0,0,0,0,0,0,0,0,1.093,1,1,0,20,20,0,0,0
26,20,25,27,26,27,0,0,0,0,0,0,0,0,1.14,1,1,0,20,20,0,0,0
27,20,26,28,27,28,0,0,0,0,0,0,0,0,1.147,1,1,0,20,20,0,0,0
28,20,27,29,28,29,0,0,0,0,0,0,0,0,1.277,1,1,0,20,20,0,0,0
29,20,28,30,29,30,0,0,0,0,0,0,0,0,1.184,1,1,0,20,20,0,0,0
30,20,29,31,30,31,0,0,0,0,0,0,0,0,1.332,1,1,0,20,20,0,0,0
31,20,30,32,31,32,0,0,0,0,0,0,0,0,1.008,1,1,0,20,20,0,0,0
32,20,31,33,32,33,0,0,0,0,0,0,0,0,1.09,1,1,0,20,20,0,0,0
33,20,32,34,33,34,0,0,0,0,0,0,0,0,1.258,1,1,0,20,20,0,0,0
34,20,33,35,34,35,0,0,0,0,0,0,0,0,1.309,1,1,0,20,20,0,0,0
35,20,34,36,35,36,0,0,0,0,0,0,0,0,1.029,1,1,0,20,20,0,0,0
36,20,35,37,36,37,0,0,0,0,0,0,0,0,1.095,1,1,0,20,20,0,0,0
37,20,36,38,37,38,0,0,0,0,0,0,0,0,1.182,1,1,0,20,20,0,0,0
38,20,37,39,38,39,0,0,0,0,0,0,0,0,1.232,1,1,0,20,20,0,0,0
39,20,38,40,39,40,0,0,0,0,0,0,0,0,1.255,1,1,0,20,20,0,0,0
40,20,39,41,40,41,0,0,0,0,0,0,0,0,1.278,1,1,0,20,20,0,0,0
41,20,40,42,41,42,0,0,0,0,0,0,0,0,1.305,1,1,0,20,20,0,0,0
42,20,41,43,42,43,0,0,0,0,0,0,0,0,1.309,1,1,0,20,20,0,0,0
43,20,42,44,43,44,0,0,0,0,0,0,0,0,1.314,1,1,0,20,20,0,0,0
44,20,43,1589,44,45,0,0,0,0,0,0,0,0,1.347,1,1,0,20,20,0,0,0
116,20,1588,117,116,117,0,0,0,0,0,0,0,0,1.958,1,1,0,20,20,0,0,0
117,20,116,118,117,118,0,0,0,0,0,0,0,0,1.493,1,1,0,20,20,0,0,0
118,20,117,119,118,119,0,0,0,0,0,0,0,0,1.485,1,1,0,20,20,0,0,0
119,20,118,120,119,120,0,0,0,0,0,0,0,0,1.019,1,1,0,20,20,0,0,0
120,20,119,121,120,121,0,0,0,0,0,0,0,0,1.024,1,1,0,20,20,0,0,0
121,20,120,122,121,122,0,0,0,0,0,0,0,0,1.038,1,1,0,20,20,0,0,0
122,20,121,123,122,123,0,0,0,0,0,0,0,0,1.065,1,1,0,20,20,0,0,0
123,20,122,124,123,124,0,0,0,0,0,0,0,0,1.093,1,1,0,20,20,0,0,0
124,20,123,125,124,125,0,0,0,0,0,0,0,0,1.092,1,1,0,20,20,0,0,0
125,20,124,126,125,126,0,0,0,0,0,0,0,0,1.088,1,1,0,20,20,0,0,0
126,20,125,127,126,127,0,0,0,0,0,0,0,0,1.116,1,1,0,20,20,0,0,0
127,20,126,128,127,128,0,0,0,0,0,0,0,0,1.136,1,1,0,20,20,0,0,0
128,20,127,129,128,129,0,0,0,0,0,0,0,0,1.149,1,1,0,20,20,0,0,0
129,20,128,130,129,130,0,0,0,0,0,0,0,0,1.138,1,1,0,20,20,0,0,0
130,20,129,131,130,131,0,0,0,0,0,0,0,0,1.147,1,1,0,20,20,0,0,0
131,20,130,132,131,132,0,0,0,0,0,0,0,0,1.191,1,1,0,20,20,0,0,0
132,20,131,133,132,133,0,0,0,0,0,0,0,0,1.207,1,1,0,20,20,0,0,0
133,20,132,134,133,134,0,0,0,0,0,0,0,0,1.193,1,1,0,20,20,0,0,0
134,20,133,135,134,135,0,0,0,0,0,0,0,0,1.188,1,1,0,20,20,0,0,0
135,20,134,136,135,136,0,0,0,0,0,0,0,0,1.195,1,1,0,20,20,0,0,0
136,20,135,137,136,137,0,0,0,0,0,0,0,0,1.182,1,1,0,20,20,0,0,0
137,20,136,138,137,138,0,0,0,0,0,0,0,0,1.201,1,1,0,20,20,0,0,0
138,20,137,139,138,139,0,0,0,0,0,0,0,0,1.22,1,1,0,20,20,0,0,0
139,20,138,140,139,140,0,0,0,0,0,0,0,0,1.214,1,1,0,20,20,0,0,0
140,20,0,141,140,141,0,1576,139,0,0,0,0,0,1.211,1,1,0,20,20,0,0,0
141,20,140,142,141,142,0,0,0,0,0,0,0,0,1.224,1,1,0,20,20,0,0,0
142,20,141,143,142,143,0,0,0,0,0,0,0,0,1.219,1,1,0,20,20,0,0,0
143,20,142,144,143,144,0,0,0,0,0,0,0,0,1.225,1,1,0,20,20,0,0,0
144,20,143,145,144,145,0,0,0,0,0,0,0,0,1.217,1,1,0,20,20,0,0,0
145,20,144,146,145,146,0,0,0,0,0,0,0,0,1.227,1,1,0,20,20,0,0,0
146,20,145,147,146,147,0,0,0,0,0,0,0,0,1.222,1,1,0,20,20,0,0,0
147,20,146,148,147,148,0,0,0,0,0,0,0,0,1.209,1,1,0,20,20,0,0,0
148,0,147,149,148,149,0,0,0,0,0,0,0,0,1.228,1,1,0,20,20,0,0,0
149,0,148,150,149,150,0,0,0,0,0,0,0,0,1.224,1,1,0,20,20,0,0,0
150,0,149,151,150,151,0,0,0,0,0,0,0,0,1.248,1,1,0,20,20,0,0,0
151,0,150,152,151,152,0,0,0,0,0,0,0,0,1.251,1,1,0,20,20,0,0,0
152,0,151,153,152,153,0,0,0,0,0,0,0,0,1.246,1,1,0,20,20,0,0,0
153,0,152,154,153,154,0,0,0,0,0,0,0,0,1.286,1,1,0,20,20,0,0,0
154,0,153,155,154,155,0,0,0,0,0,0,0,0,1.277,1,1,0,20,20,0,0,0
155,0,154,156,155,156,0,0,0,0,0,0,0,0,1.272,1,1,0,20,20,0,0,0
156,0,155,157,156,157,0,0,0,0,0,0,0,0,1.261,1,1,0,20,20,0,0,0
157,0,156,158,157,158,0,0,0,0,0,0,0,0,1.304,1,1,0,20,20,0,0,0
158,0,157,159,158,159,0,0,0,0,0,0,0,0,1.298,1,1,0,20,20,0,0,0
159,0,158,160,159,160,0,0,0,0,0,0,0,0,1.282,1,1,0,20,20,0,0,0
160,0,159,161,160,161,0,0,0,0,0,0,0,0,1.296,1,1,0,20,20,0,0,0
161,0,160,162,161,162,0,0,0,0,0,0,0,0,1.312,1,1,0,20,20,0,0,0
162,0,161,163,162,163,0,0,0,0,0,0,0,0,1.255,1,1,0,20,20,0,0,0
163,0,162,164,163,164,0,0,0,0,0,0,0,0,1.263,1,1,0,20,20,0,0,0
164,0,163,165,164,165,0,0,0,0,0,0,0,0,1.288,1,1,0,20,20,0,0,0
165,0,164,166,165,166,0,0,0,0,0,0,0,0,1.278,1,1,0,20,20,0,0,0
166,0,165,167,166,167,0,0,0,0,0,0,0,0,1.294,1,1,0,20,20,0,0,0
167,0,166,168,167,168,0,0,0,0,0,0,0,0,1.27,1,1,0,20,20,0,0,0
168,0,167,169,168,169,0,0,0,0,0,0,0,0,1.325,1,1,0,20,20,0,0,0
169,0,168,170,169,170,0,0,0,0,0,0,0,0,1.286,1,1,0,20,20,0,0,0
170,0,169,171,170,171,0,0,0,0,0,0,0,0,1.244,1,1,0,20,20,0,0,0
171,0,170,172,171,172,0,0,0,0,0,0,0,0,1.233,1,1,0,20,20,0,0,0
172,0,171,173,172,173,0,0,0,0,0,0,0,0,1.256,1,1,0,20,20,0,0,0
173,0,172,174,173,174,0,0,0,0,0,0,0,0,1.251,1,1,0,20,20,0,0,0
174,0,173,175,174,175,0,0,0,0,0,0,0,0,1.257,1,1,0,20,20,0,0,0
175,0,174,176,175,176,0,0,0,0,0,0,0,0,1.225,1,1,0,20,20,0,0,0
176,0,175,177,176,177,0,0,0,0,0,0,0,0,1.233,1,1,0,20,20,0,0,0
177,0,176,178,177,178,0,0,0,0,0,0,0,0,1.246,1,1,0,20,20,0,0,0
178,0,177,179,178,179,0,0,0,0,0,0,0,0,1.252,1,1,0,20,20,0,0,0
179,0,178,180,179,180,0,0,0,0,0,0,0,0,1.231,1,1,0,20,20,0,0,0
180,0,179,181,180,181,0,0,0,0,0,0,0,0,1.183,1,1,0,20,20,0,0,0
181,0,180,182,181,182,0,0,0,0,0,0,0,0,1.111,1,1,0,20,20,0,0,0
182,0,181,183,182,183,0,0,0,0,0,0,0,0,1.098,1,1,0,20,20,0,0,0
183,0,182,184,183,184,0,0,0,0,0,0,0,0,1.045,1,1,0,20,20,0,0,0
184,0,183,185,184,185,0,0,0,0,0,0,0,0,1.01,1,1,0,20,20,0,0,0
185,0,184,186,185,186,0,0,0,0,0,0,0,0,1.346,1,1,0,20,20,0,0,0
186,0,185,1577,186,187,0,0,0,0,0,0,0,0,1.276,1,1,0,20,20,0,0,0
189,0,1577,190,189,190,0,0,0,0,0,0,0,0,1.352,1,1,0,20,20,0,0,0
190,0,189,191,190,191,0,0,0,0,0,0,0,0,1.085,1,1,0,20,20,0,0,0
191,0,190,192,191,192,0,0,0,0,0,0,0,0,1.315,1,1,0,20,20,0,0,0
192,0,191,193,192,193,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
