PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,22.4396,-4.0881,131.7439,1,0,0,0
2,0,0,22.6308,-4.1179,132.8288,1,0,0,0
24,0,0,26.4518,0.2118,157.5814,1,0,0,0
25,0,0,26.5825,0.3292,158.6692,1,0,0,0
26,0,0,26.7789,0.5241,159.7443,1,0,0,0
27,0,0,26.9363,0.7851,160.8541,1,0,0,0
28,0,0,27.131,1.1164,161.9522,1,0,0,0
29,0,0,27.1601,1.6159,163.1275,1,0,0,0
30,0,0,27.4416,2.1324,164.1933,1,0,0,0
31,0,0,27.4438,2.8712,165.3015,1,0,0,0
32,0,0,27.4771,3.5226,166.0701,1,0,0,0
33,0,0,27.396,4.272,166.862,1,0,0,0
34,0,0,27.6521,5.1868,167.7262,1,0,0,0
35,0,0,27.7638,6.3258,168.3715,1,0,0,0
36,0,0,27.8876,7.2345,168.8535,1,0,0,0
37,0,0,27.9662,8.2467,169.2712,1,0,0,0
38,0,0,28.0213,9.3515,169.6909,1,0,0,0
39,0,0,28.09,10.5304,170.0471,1,0,0,0
40,0,0,28.1367,11.7531,170.3322,1,0,0,0
41,0,0,28.1436,13.0059,170.5852,1,0,0,0
42,0,0,28.156,14.2913,170.8084,1,0,0,0
43,0,0,28.1879,15.5914,170.9618,1,0,0,0
44,0,0,28.1757,16.8982,171.0963,1,0,0,0
45,0,0,28.1756,18.2423,171.1851,1,0,0,0
58,0,0,27.7985,33.7708,171.2262,1,0,0,0
116,0,0,27.689,13.688,167.914,1,0,0,0
117,0,0,27.712,11.731,167.868,1,0,0,0
118,0,0,27.744,10.238,167.871,1,0,0,0
119,0,0,27.773,8.753,167.884,1,0,0,0
120,0,0,27.79,7.734,167.876,1,0,0,0
121,0,0,27.814,6.711,167.841,1,0,0,0
122,0,0,27.817,5.673,167.848,1,0,0,0
123,0,0,27.8255,4.6093,167.7928,1,0,0,0
124,0,0,27.8314,3.5163,167.802,1,0,0,0
125,0,0,27.8587,2.4239,167.7989,1,0,0,0
126,0,0,27.8788,1.336,167.787,1,0,0,0
127,0,0,27.8938,0.2203,167.7657,1,0,0,0
128,0,0,27.9039,-0.916,167.7738,1,0,0,0
129,0,0,27.9102,-2.0652,167.765,1,0,0,0
130,0,0,27.9075,-3.203,167.7457,1,0,0,0
131,0,0,27.9285,-4.3498,167.7406,1,0,0,0
132,0,0,27.958,-5.5403,167.7327,1,0,0,0
133,0,0,27.979,-6.7475,167.7203,1,0,0,0
134,0,0,27.9741,-7.9402,167.7212,1,0,0,0
135,0,0,27.9914,-9.1282,167.729,1,0,0,0
136,0,0,28.0249,-10.3236,167.7302,1,0,0,0
