x,y,z,yaw,velocity,change_flag
25.9189,33.3834,4.5954,1.1559,0,0
26.4293,34.4139,4.6960,1.1695,5.9372,0
26.9270,35.4637,4.7665,1.1945,7.5789,0
27.3888,36.5349,4.8220,1.2195,8.6113,0
27.7698,37.4985,4.8608,1.2414,9.3746,0
28.1509,38.5190,4.9118,1.2649,9.9288,0
28.5103,39.5785,4.9652,1.2815,10.1825,0
28.8675,40.7299,5.0185,1.2842,11.1574,0
29.2578,41.9515,5.0712,1.2773,11.8049,0
29.6722,43.1568,5.1119,1.2684,11.3846,0
30.1038,44.3263,5.1466,1.2587,11.1573,0
30.5370,45.4948,5.2224,1.2447,11.4350,0
30.9971,46.6958,5.2853,1.2297,11.2012,0
31.4794,47.8998,5.3328,1.2135,12.0025,0
31.9890,49.0889,5.4089,1.1956,11.5022,0
32.5207,50.2848,5.4943,1.1788,11.7673,0
33.0759,51.4865,5.5970,1.1641,12.0517,0
33.5130,52.4142,5.6376,1.1578,12.0815,0
34.0848,53.6064,5.7563,1.1439,11.8703,0
34.5513,54.5223,5.8419,1.1311,12.5134,0
35.0433,55.4795,5.8894,1.1202,12.7796,0
35.5481,56.4227,5.9648,1.1110,12.9303,0
36.0842,57.3927,6.0651,1.1012,13.2437,0
36.6274,58.3699,6.1788,1.0904,13.2572,0
37.2018,59.3968,6.2790,1.0817,14.3461,0
37.7997,60.4234,6.3784,1.0721,14.2157,0
38.4351,61.4824,6.4893,1.0653,14.9664,0
39.0686,62.5644,6.6154,1.0582,14.8665,0
39.7502,63.6502,6.7452,1.0552,15.3573,0
40.4352,64.7805,6.8676,1.0534,16.1956,0
41.1489,65.9296,6.9995,1.0523,16.2964,0
41.8676,67.0758,7.1278,1.0519,16.3638,0
42.5873,68.2407,7.2642,1.0544,16.5040,0
43.3285,69.4470,7.4166,1.0590,16.8070,0
44.0703,70.6562,7.5627,1.0644,17.0372,0
44.8243,71.8980,7.6994,1.0712,17.2581,0
45.5653,73.1327,7.8312,1.0793,17.2828,0
46.3106,74.4115,7.9749,1.0874,17.8504,0
47.0423,75.7014,8.1214,1.0991,17.7230,0
47.5472,76.5837,8.1975,1.1103,18.1639,0
48.0299,77.4880,8.2743,1.1237,18.3348,0
48.5056,78.4054,8.3604,1.1378,18.6221,0
48.9659,79.3276,8.4577,1.1542,18.4264,0
49.4175,80.2500,8.5308,1.1718,18.4530,0
49.8523,81.2117,8.6018,1.1884,19.0425,0
50.2687,82.1787,8.6731,1.2046,18.6120,0
50.6743,83.1274,8.7508,1.2210,18.3907,0
51.0542,84.0580,8.8156,1.2377,17.9224,0
51.4163,85.0214,8.8518,1.2548,18.3803,0
51.7492,85.9932,8.9140,1.2702,18.3134,0
52.0837,86.9629,8.9849,1.2850,18.3203,0
52.4045,87.9321,9.0241,1.2992,18.2206,0
52.6984,88.9097,9.0470,1.3104,18.0813,0
52.9804,89.8721,9.0902,1.3182,18.0087,0
53.4021,91.3062,9.1566,1.3286,17.8275,0
53.8037,92.7570,9.2061,1.3375,18.0820,0
54.0711,93.7394,9.2220,1.3434,18.0927,0
54.3350,94.7358,9.2479,1.3478,18.2766,0
54.5872,95.7243,9.2816,1.3509,18.1431,0
54.8501,96.7029,9.3127,1.3540,18.2294,0
55.1061,97.7089,9.3380,1.3576,18.4760,0
55.3483,98.6981,9.3668,1.3606,17.9607,0
55.5967,99.6757,9.3896,1.3644,18.0398,0
55.8274,100.6960,9.4260,1.3669,18.7183,0
56.0788,101.6941,9.4684,1.3713,18.3420,0
56.3246,102.7227,9.4869,1.3746,19.0885,0
56.5771,103.7828,9.4562,1.3757,19.5589,0
56.8271,104.8575,9.4944,1.3754,19.8356,0
57.0740,105.9416,9.5705,1.3753,20.0912,0
57.3263,107.0463,9.6196,1.3768,20.2100,0
57.5883,108.1640,9.6134,1.3778,20.5708,0
57.8621,109.2949,9.6177,1.3786,20.6897,0
58.1223,110.4339,9.6618,1.3784,20.9510,0
