PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE
1,,,47.5052,-0.2728,275.4461,1,,,
2,,,47.2827,0.234,274.4954,1,,,
3,,,47.0352,0.6523,273.5753,1,,,
4,,,46.7877,1.0765,272.5956,1,,,
5,,,46.5885,1.4258,271.6164,1,,,
6,,,46.3325,1.7707,270.5183,1,,,
7,,,46.1277,2.0553,269.4685,1,,,
8,,,45.8561,2.2884,268.4042,1,,,
9,,,45.5719,2.491,267.2429,1,,,
10,,,45.3415,2.7037,266.0467,1,,,
11,,,45.0623,2.843,264.7963,1,,,
12,,,44.7497,3.004,263.521,1,,,
13,,,44.4954,3.169,262.2616,1,,,
14,,,44.2065,3.3844,261.0449,1,,,
15,,,43.9544,3.6412,259.8686,1,,,
16,,,43.7127,3.9491,258.7315,1,,,
17,,,43.483,4.2968,257.6473,1,,,
18,,,43.2179,4.6754,256.5591,1,,,
19,,,42.9669,5.0821,255.5035,1,,,
20,,,42.7055,5.5933,254.4804,1,,,
21,,,42.4376,6.1175,253.4845,1,,,
22,,,42.1848,6.6528,252.546,1,,,
23,,,41.9106,7.2876,251.556,1,,,
24,,,41.6637,7.9076,250.6859,1,,,
25,,,41.4649,8.5454,249.8433,1,,,
26,,,41.249,9.2389,249.0073,1,,,
27,,,41.005,9.9624,248.0936,1,,,
28,,,40.8005,10.6011,247.2607,1,,,
29,,,40.5523,11.3444,246.2769,1,,,
30,,,40.2695,12.1073,245.1534,1,,,
31,,,40.0519,12.7132,244.2271,1,,,
32,,,39.8215,13.2484,243.1991,1,,,
33,,,39.6055,13.7695,242.0925,1,,,
34,,,39.3453,14.2376,240.9615,1,,,
35,,,39.0777,14.6761,239.7455,1,,,
36,,,38.8392,15.0015,238.4911,1,,,
37,,,38.5724,15.2477,237.1784,1,,,
38,,,38.3451,15.4089,235.8679,1,,,
39,,,38.0835,15.4719,234.533,1,,,
40,,,37.8394,15.4297,233.1979,1,,,
41,,,37.6188,15.286,231.8573,1,,,
42,,,37.3879,15.0157,230.4984,1,,,
43,,,37.178,14.6747,229.1734,1,,,
44,,,36.9484,14.1947,227.8875,1,,,
45,,,36.7525,13.5889,226.5457,1,,,
46,,,36.5768,12.8938,225.2508,1,,,
47,,,36.4187,12.3196,224.3578,1,,,
48,,,36.2811,11.7403,223.4657,1,,,
49,,,36.1575,11.143,222.6302,1,,,
50,,,36.0563,10.5262,221.8334,1,,,
51,,,35.9681,9.8906,221.0008,1,,,
52,,,35.8811,9.2156,220.1701,1,,,
53,,,35.7776,8.5299,219.3495,1,,,
54,,,35.6612,7.8226,218.5031,1,,,
55,,,35.5514,7.1123,217.6731,1,,,
56,,,35.473,6.4066,216.8596,1,,,
57,,,35.3903,5.6851,216.0414,1,,,
58,,,35.2894,4.9636,215.1697,1,,,
59,,,35.1829,4.241,214.3147,1,,,
60,,,35.0736,3.5176,213.451,1,,,
61,,,34.9444,2.7948,212.5633,1,,,
62,,,34.8382,2.0843,211.6603,1,,,
63,,,34.7288,1.3883,210.7763,1,,,
64,,,34.6047,0.7031,209.8422,1,,,
65,,,34.4945,0.0151,208.9023,1,,,
66,,,34.3642,-0.6373,207.9623,1,,,
67,,,34.2277,-1.2861,206.9972,1,,,
68,,,34.1013,-1.9304,206.0081,1,,,
69,,,33.9353,-2.5757,204.9675,1,,,
70,,,33.7927,-3.1911,203.9284,1,,,
71,,,33.6485,-3.7899,202.8915,1,,,
72,,,33.4919,-4.3571,201.8063,1,,,
73,,,33.3343,-4.9146,200.7104,1,,,
74,,,33.1604,-5.4399,199.596,1,,,
75,,,33.0017,-5.9657,198.4552,1,,,
76,,,32.825,-6.4788,197.2735,1,,,
77,,,32.6492,-6.9628,196.0669,1,,,
78,,,32.4626,-7.4194,194.8449,1,,,
79,,,32.2716,-7.8162,193.5983,1,,,
80,,,32.0753,-8.1811,192.351,1,,,
81,,,31.8707,-8.5204,191.1082,1,,,
82,,,31.6683,-8.8224,189.8355,1,,,
83,,,31.4673,-9.0918,188.5836,1,,,
84,,,31.2772,-9.3355,187.3155,1,,,
85,,,31.0476,-9.5699,185.9686,1,,,
86,,,30.7968,-9.7661,184.6057,1,,,
87,,,30.58,-9.9245,183.3001,1,,,
88,,,30.3914,-10.0366,182.0072,1,,,
89,,,30.1201,-10.1369,180.6714,1,,,
90,,,29.9051,-10.2168,179.3359,1,,,
91,,,29.6714,-10.2838,177.9722,1,,,
92,,,29.4252,-10.316,176.5991,1,,,
93,,,29.1556,-10.3355,175.2298,1,,,
94,,,28.9294,-10.3448,173.891,1,,,
95,,,28.6957,-10.3377,172.5209,1,,,
96,,,28.4432,-10.3124,171.1357,1,,,
97,,,28.2006,-10.2902,169.7649,1,,,
98,,,27.9695,-10.2259,168.3721,1,,,
99,,,27.7087,-10.138,166.9996,1,,,
100,,,27.4382,-10.0397,165.6407,1,,,
101,,,27.2256,-9.9547,164.2697,1,,,
102,,,26.9644,-9.8375,162.9062,1,,,
103,,,26.7274,-9.7291,161.5348,1,,,
104,,,26.4576,-9.6192,160.1575,1,,,
105,,,26.195,-9.4906,158.7833,1,,,
106,,,25.948,-9.3623,157.4035,1,,,
107,,,25.6741,-9.2434,155.9968,1,,,
108,,,25.4234,-9.1197,154.6095,1,,,
109,,,25.1808,-8.9901,153.2211,1,,,
110,,,24.9345,-8.8738,151.802,1,,,
111,,,24.664,-8.7497,150.3798,1,,,
112,,,24.4024,-8.6285,148.9704,1,,,
113,,,24.1328,-8.503,147.5982,1,,,
114,,,23.8891,-8.3624,146.2294,1,,,
115,,,23.6554,-8.2317,144.8394,1,,,
116,,,23.384,-8.1058,143.4267,1,,,
117,,,23.132,-7.9944,141.9962,1,,,
118,,,22.9011,-7.8826,140.6115,1,,,
119,,,22.6645,-7.778,139.274,1,,,
120,,,22.4064,-7.6636,137.8973,1,,,
121,,,22.137,-7.5501,136.5165,1,,,
122,,,21.8731,-7.4338,135.1316,1,,,
123,,,21.6307,-7.317,133.774,1,,,
124,,,21.3915,-7.1924,132.3955,1,,,
125,,,21.1489,-7.0785,131.016,1,,,
126,,,20.8761,-6.9401,129.6333,1,,,
127,,,20.6224,-6.8247,128.2353,1,,,
128,,,20.3588,-6.715,126.8735,1,,,
129,,,20.1204,-6.5872,125.5261,1,,,
130,,,19.865,-6.4721,124.1741,1,,,
131,,,19.6344,-6.3581,122.8253,1,,,
132,,,19.3929,-6.2305,121.4863,1,,,
133,,,19.154,-6.1205,120.1473,1,,,
134,,,18.897,-6.0116,118.7944,1,,,
135,,,18.6641,-5.8997,117.4624,1,,,
136,,,18.4378,-5.7907,116.1322,1,,,
