PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
107,0,0,99.2775,-606.8001,446.1332,1,0,0,0
108,0,0,98.9675,-606.9644,445.0094,1,0,0,0
109,0,0,98.5864,-607.1267,443.8438,1,0,0,0
110,0,0,98.2836,-607.3143,442.6217,1,0,0,0
111,0,0,97.9689,-607.502,441.3162,1,0,0,0
112,0,0,97.6022,-607.6876,439.9192,1,0,0,0
113,0,0,97.2465,-607.8904,438.4825,1,0,0,0
114,0,0,96.8684,-608.0834,437.0119,1,0,0,0
115,0,0,96.5022,-608.2984,435.55,1,0,0,0
116,0,0,96.2528,-608.4343,434.5479,1,0,0,0
117,0,0,95.9958,-608.5658,433.5406,1,0,0,0
118,0,0,95.7494,-608.7175,432.5291,1,0,0,0
119,0,0,95.4941,-608.8686,431.5003,1,0,0,0
120,0,0,95.2118,-609.0152,430.4877,1,0,0,0
121,0,0,94.9545,-609.1512,429.4836,1,0,0,0
122,0,0,94.7182,-609.2907,428.4598,1,0,0,0
123,0,0,94.4643,-609.4432,427.467,1,0,0,0
124,0,0,94.0895,-609.6104,426.0337,1,0,0,0
125,0,0,93.7017,-609.7558,424.6227,1,0,0,0
126,0,0,93.3385,-609.8391,423.2485,1,0,0,0
127,0,0,92.955,-609.8597,421.8292,1,0,0,0
128,0,0,92.5951,-609.8171,420.4001,1,0,0,0
129,0,0,92.1887,-609.6754,418.9668,1,0,0,0
130,0,0,91.7521,-609.3928,417.5112,1,0,0,0
131,0,0,91.3703,-609.0085,416.0794,1,0,0,0
132,0,0,91.0017,-608.5023,414.7108,1,0,0,0
133,0,0,90.736,-608.0685,413.7982,1,0,0,0
134,0,0,90.3454,-607.3301,412.4886,1,0,0,0
135,0,0,90.1157,-606.7682,411.6553,1,0,0,0
136,0,0,89.8954,-606.1401,410.8632,1,0,0,0
137,0,0,89.6698,-605.4552,410.1,1,0,0,0
138,0,0,89.4381,-604.7451,409.366,1,0,0,0
139,0,0,89.2352,-603.9682,408.667,1,0,0,0
140,0,0,89.0331,-603.1494,408.0196,1,0,0,0
141,0,0,88.827,-602.2846,407.4161,1,0,0,0
142,0,0,88.6302,-601.3828,406.8619,1,0,0,0
143,0,0,88.4852,-600.4636,406.3568,1,0,0,0
144,0,0,88.3357,-599.5093,405.9039,1,0,0,0
145,0,0,88.1831,-598.5255,405.5014,1,0,0,0
146,0,0,88.0388,-597.5157,405.1376,1,0,0,0
147,0,0,87.9171,-596.4605,404.7896,1,0,0,0
148,0,0,87.8349,-595.3824,404.512,1,0,0,0
149,0,0,87.7545,-594.2655,404.2598,1,0,0,0
150,0,0,87.6539,-593.0963,404.0524,1,0,0,0
151,0,0,87.5512,-591.9053,403.8949,1,0,0,0
152,0,0,87.4697,-590.7041,403.7606,1,0,0,0
153,0,0,87.4,-589.5549,403.6133,1,0,0,0
154,0,0,87.3113,-588.3979,403.4552,1,0,0,0
155,0,0,87.2311,-587.2264,403.3001,1,0,0,0
156,0,0,87.1464,-586.045,403.1678,1,0,0,0
157,0,0,87.0837,-584.8734,403.0335,1,0,0,0
158,0,0,87.0138,-583.718,402.8969,1,0,0,0
159,0,0,86.9282,-582.5683,402.7881,1,0,0,0
160,0,0,86.8478,-581.4597,402.698,1,0,0,0
161,0,0,86.7704,-580.3145,402.588,1,0,0,0
162,0,0,86.677,-579.1859,402.4608,1,0,0,0
163,0,0,86.6114,-578.0698,402.3396,1,0,0,0
164,0,0,86.541,-576.967,402.227,1,0,0,0
165,0,0,86.4622,-575.8604,402.1287,1,0,0,0
166,0,0,86.3909,-574.7598,402.0163,1,0,0,0
167,0,0,86.3249,-573.6848,401.9129,1,0,0,0
168,0,0,86.2647,-572.6501,401.8041,1,0,0,0
169,0,0,86.2094,-571.6517,401.7036,1,0,0,0
170,0,0,86.1874,-570.1556,401.5498,1,0,0,0
171,0,0,85.9868,-568.7773,401.4013,1,0,0,0
172,0,0,85.8683,-567.4179,401.2458,1,0,0,0
173,0,0,86.0144,-566.0088,401.0974,1,0,0,0
174,0,0,85.8851,-564.6281,400.9642,1,0,0,0
175,0,0,85.717,-563.2611,400.8138,1,0,0,0
176,0,0,85.6772,-561.8441,400.645,1,0,0,0
177,0,0,85.6213,-560.8135,400.5224,1,0,0,0
178,0,0,85.5581,-559.7631,400.4045,1,0,0,0
179,0,0,85.5117,-558.6658,400.2764,1,0,0,0
180,0,0,85.4374,-557.5242,400.133,1,0,0,0
181,0,0,85.3793,-556.333,399.984,1,0,0,0
182,0,0,85.3338,-555.0849,399.8407,1,0,0,0
183,0,0,85.2794,-553.8021,399.6803,1,0,0,0
184,0,0,85.2034,-552.4917,399.5059,1,0,0,0
185,0,0,85.1251,-551.1531,399.3533,1,0,0,0
186,0,0,85.0827,-549.8095,399.1651,1,0,0,0
187,0,0,84.9911,-548.4242,398.9839,1,0,0,0
188,0,0,84.9294,-546.997,398.8241,1,0,0,0
189,0,0,84.8831,-545.5442,398.637,1,0,0,0
