x,y,z,yaw,velocity,change_flag
589.8988,-610.9125,136.6680,-2.9973,0,0
588.8265,-611.0412,136.4246,-2.9587,10.1380,0
587.6066,-611.2120,136.1540,-2.9307,11.5944,0
586.3296,-611.4214,135.8489,-2.9198,12.5462,0
585.2614,-611.5844,135.6350,-2.9207,13.5794,0
584.1564,-611.7599,135.3537,-2.9253,14.1246,0
582.9813,-611.9297,135.0725,-2.9375,14.6940,0
581.7789,-612.1093,134.8139,-2.9514,14.8359,0
580.5345,-612.2608,134.4821,-2.9691,15.7082,0
579.2558,-612.3911,134.2163,-2.9908,15.5296,0
577.9446,-612.4866,133.9217,-3.0130,16.4517,0
576.6127,-612.5904,133.5366,-3.0367,16.3634,0
575.2316,-612.6047,133.2397,-3.0592,16.9492,0
573.8272,-612.6537,132.8913,-3.0847,17.4615,0
572.4046,-612.6407,132.5586,-3.1096,17.5695,0
570.9520,-612.5919,132.1771,-3.1317,18.0136,0
569.4912,-612.5334,131.8035,3.1301,18.0076,0
567.9929,-612.4310,131.4426,3.1110,18.6150,0
566.9926,-612.3234,131.2069,3.0997,18.4538,0
565.5288,-612.1711,130.8409,3.0840,18.3901,0
564.5230,-612.0659,130.5771,3.0751,18.5581,0
563.5055,-611.9319,130.3197,3.0678,18.8949,0
562.4803,-611.7935,130.0423,3.0600,19.2763,0
561.4206,-611.6642,129.7620,3.0515,19.9295,0
560.3366,-611.5059,129.4777,3.0437,20.3569,0
559.2114,-611.3113,129.1805,3.0365,21.2393,0
558.0662,-611.1332,128.8835,3.0307,21.2316,0
556.9110,-610.9413,128.5457,3.0266,21.9608,0
555.6929,-610.7347,128.2270,3.0250,22.8632,0
554.5029,-610.5347,127.8974,3.0238,22.1668,0
553.3381,-610.3307,127.5725,3.0230,22.0129,0
552.1162,-610.1226,127.2392,3.0223,23.1512,0
550.8707,-609.8927,126.9038,3.0216,23.5209,0
549.6248,-609.6794,126.5503,3.0208,23.2636,0
548.3683,-609.4548,126.2064,3.0198,23.5444,0
547.1108,-609.2223,125.8578,3.0190,23.6887,0
545.8394,-609.0063,125.5152,3.0188,24.0454,0
544.5329,-608.7795,125.1730,3.0174,24.6377,0
543.2186,-608.5490,124.7969,3.0163,24.9002,0
541.8665,-608.3097,124.4502,3.0161,25.3238,0
540.5121,-608.0851,124.1160,3.0177,25.3459,0
539.1640,-607.8514,123.7223,3.0192,25.2912,0
537.8264,-607.6304,123.3488,3.0213,25.1843,0
536.4435,-607.3945,123.0158,3.0241,25.6652,0
535.0808,-607.1538,122.6183,3.0258,25.6029,0
533.7257,-606.9191,122.2134,3.0288,25.7614,0
532.3289,-606.6819,121.8491,3.0309,26.3200,0
530.9227,-606.4604,121.4725,3.0333,26.1931,0
529.5207,-606.2170,121.0660,3.0350,26.5380,0
528.1199,-606.0013,120.6567,3.0368,26.1861,0
526.7171,-605.7829,120.2851,3.0398,26.2376,0
525.3018,-605.5552,119.9092,3.0425,26.9135,0
523.8683,-605.3383,119.5065,3.0449,26.5703,0
522.4391,-605.1293,119.1084,3.0471,26.7480,0
521.0019,-604.9058,118.6888,3.0489,27.0731,0
519.5461,-604.6880,118.2916,3.0512,27.1378,0
518.0831,-604.4797,117.8936,3.0537,27.3837,0
516.6229,-604.2672,117.4759,3.0563,27.2233,0
515.1703,-604.0647,117.0923,3.0593,27.3279,0
513.6869,-603.8611,116.6759,3.0618,27.8857,0
512.2191,-603.6619,116.2479,3.0639,27.3255,0
510.7288,-603.4650,115.8329,3.0667,28.0226,0
509.2180,-603.2734,115.4438,3.0687,27.9439,0
507.7273,-603.0637,115.0516,3.0715,27.6473,0
506.2170,-602.8730,114.6224,3.0778,28.2468,0
504.6931,-602.6985,114.1950,3.0913,28.6386,0
503.1340,-602.5483,113.7612,3.1050,28.9209,0
501.5844,-602.4039,113.3814,3.1175,28.6164,0
500.0101,-602.2697,112.9556,3.1322,29.3428,0
498.4204,-602.1652,112.5369,-3.1345,29.2899,0
496.8206,-602.0875,112.1137,-3.1187,29.8256,0
495.1966,-602.0583,111.6708,-3.1031,30.0757,0
493.5837,-602.0372,111.2343,-3.0878,29.7865,0
491.9782,-602.0209,110.8370,-3.0739,29.3037,0
490.3675,-602.0364,110.4210,-3.0611,29.8462,0
488.7292,-602.0771,109.9850,-3.0492,30.3483,0
487.0757,-602.1492,109.5519,-3.0372,30.6597,0
485.4471,-602.2445,109.1496,-3.0256,29.7872,0
483.8285,-602.3107,108.7457,-3.0143,29.9997,0
482.1671,-602.4206,108.3105,-3.0042,30.8517,0
480.5489,-602.5609,107.8863,-2.9965,29.5526,0
478.9858,-602.6955,107.5019,-2.9891,28.7258,0
477.4029,-602.8422,107.1092,-2.9836,29.3090,0
475.8496,-603.0019,106.7124,-2.9781,28.5587,0
474.3222,-603.1501,106.3226,-2.9723,28.1568,0
472.8105,-603.3192,105.9518,-2.9687,27.8598,0
471.3342,-603.4956,105.5781,-2.9656,27.4855,0
469.8338,-603.6757,105.1923,-2.9620,27.8560,0
468.3489,-603.8485,104.8195,-2.9591,27.5506,0
466.8735,-604.0132,104.4575,-2.9561,27.1364,0
465.4290,-604.1868,104.0720,-2.9521,26.6418,0
463.9955,-604.3749,103.7115,-2.9491,26.3880,0
462.6046,-604.5723,103.3650,-2.9479,25.6391,0
461.2826,-604.7546,103.0154,-2.9478,24.2691,0
460.0012,-604.9124,102.6807,-2.9476,23.7855,0
458.7518,-605.0812,102.3783,-2.9475,22.9477,0
457.5531,-605.2527,102.0920,-2.9475,21.9573,0
456.4549,-605.3864,101.8103,-2.9479,20.0892,0
455.4174,-605.5240,101.5433,-2.9476,19.0611,0
454.4149,-605.6575,101.2886,-2.9470,18.6696,0
452.9825,-605.8514,100.9278,-2.9463,17.2303,0
451.6722,-606.0217,100.5941,-2.9460,15.9053,0
450.4829,-606.1901,100.2943,-2.9457,14.1286,0
449.3666,-606.3403,100.0576,-2.9473,13.1994,0
