PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE
1,,,136.668,-610.9125,589.8988,1,,,
2,,,136.4246,-611.0412,588.8265,1,,,
3,,,136.154,-611.212,587.6066,1,,,
4,,,135.8489,-611.4214,586.3296,1,,,
5,,,135.635,-611.5844,585.2614,1,,,
6,,,135.3537,-611.7599,584.1564,1,,,
7,,,135.0725,-611.9297,582.9813,1,,,
8,,,134.8139,-612.1093,581.7789,1,,,
9,,,134.4821,-612.2608,580.5345,1,,,
10,,,134.2163,-612.3911,579.2558,1,,,
11,,,133.9217,-612.4866,577.9446,1,,,
12,,,133.5366,-612.5904,576.6127,1,,,
13,,,133.2397,-612.6047,575.2316,1,,,
14,,,132.8913,-612.6537,573.8272,1,,,
15,,,132.5586,-612.6407,572.4046,1,,,
16,,,132.1771,-612.5919,570.952,1,,,
17,,,131.8035,-612.5334,569.4912,1,,,
18,,,131.4426,-612.431,567.9929,1,,,
19,,,131.2069,-612.3234,566.9926,1,,,
20,,,130.8409,-612.1711,565.5288,1,,,
21,,,130.5771,-612.0659,564.523,1,,,
22,,,130.3197,-611.9319,563.5055,1,,,
23,,,130.0423,-611.7935,562.4803,1,,,
24,,,129.762,-611.6642,561.4206,1,,,
25,,,129.4777,-611.5059,560.3366,1,,,
26,,,129.1805,-611.3113,559.2114,1,,,
27,,,128.8835,-611.1332,558.0662,1,,,
28,,,128.5457,-610.9413,556.911,1,,,
29,,,128.227,-610.7347,555.6929,1,,,
30,,,127.8974,-610.5347,554.5029,1,,,
31,,,127.5725,-610.3307,553.3381,1,,,
32,,,127.2392,-610.1226,552.1162,1,,,
33,,,126.9038,-609.8927,550.8707,1,,,
34,,,126.5503,-609.6794,549.6248,1,,,
35,,,126.2064,-609.4548,548.3683,1,,,
36,,,125.8578,-609.2223,547.1108,1,,,
37,,,125.5152,-609.0063,545.8394,1,,,
38,,,125.173,-608.7795,544.5329,1,,,
39,,,124.7969,-608.549,543.2186,1,,,
40,,,124.4502,-608.3097,541.8665,1,,,
41,,,124.116,-608.0851,540.5121,1,,,
42,,,123.7223,-607.8514,539.164,1,,,
43,,,123.3488,-607.6304,537.8264,1,,,
44,,,123.0158,-607.3945,536.4435,1,,,
45,,,122.6183,-607.1538,535.0808,1,,,
46,,,122.2134,-606.9191,533.7257,1,,,
47,,,121.8491,-606.6819,532.3289,1,,,
48,,,121.4725,-606.4604,530.9227,1,,,
49,,,121.066,-606.217,529.5207,1,,,
50,,,120.6567,-606.0013,528.1199,1,,,
51,,,120.2851,-605.7829,526.7171,1,,,
52,,,119.9092,-605.5552,525.3018,1,,,
53,,,119.5065,-605.3383,523.8683,1,,,
54,,,119.1084,-605.1293,522.4391,1,,,
55,,,118.6888,-604.9058,521.0019,1,,,
56,,,118.2916,-604.688,519.5461,1,,,
57,,,117.8936,-604.4797,518.0831,1,,,
58,,,117.4759,-604.2672,516.6229,1,,,
59,,,117.0923,-604.0647,515.1703,1,,,
60,,,116.6759,-603.8611,513.6869,1,,,
61,,,116.2479,-603.6619,512.2191,1,,,
62,,,115.8329,-603.465,510.7288,1,,,
63,,,115.4438,-603.2734,509.218,1,,,
64,,,115.0516,-603.0637,507.7273,1,,,
65,,,114.6224,-602.873,506.217,1,,,
66,,,114.195,-602.6985,504.6931,1,,,
67,,,113.7612,-602.5483,503.134,1,,,
68,,,113.3814,-602.4039,501.5844,1,,,
69,,,112.9556,-602.2697,500.0101,1,,,
70,,,112.5369,-602.1652,498.4204,1,,,
71,,,112.1137,-602.0875,496.8206,1,,,
72,,,111.6708,-602.0583,495.1966,1,,,
73,,,111.2343,-602.0372,493.5837,1,,,
74,,,110.837,-602.0209,491.9782,1,,,
75,,,110.421,-602.0364,490.3675,1,,,
76,,,109.985,-602.0771,488.7292,1,,,
77,,,109.5519,-602.1492,487.0757,1,,,
78,,,109.1496,-602.2445,485.4471,1,,,
79,,,108.7457,-602.3107,483.8285,1,,,
80,,,108.3105,-602.4206,482.1671,1,,,
81,,,107.8863,-602.5609,480.5489,1,,,
82,,,107.5019,-602.6955,478.9858,1,,,
83,,,107.1092,-602.8422,477.4029,1,,,
84,,,106.7124,-603.0019,475.8496,1,,,
85,,,106.3226,-603.1501,474.3222,1,,,
86,,,105.9518,-603.3192,472.8105,1,,,
87,,,105.5781,-603.4956,471.3342,1,,,
88,,,105.1923,-603.6757,469.8338,1,,,
89,,,104.8195,-603.8485,468.3489,1,,,
90,,,104.4575,-604.0132,466.8735,1,,,
91,,,104.072,-604.1868,465.429,1,,,
92,,,103.7115,-604.3749,463.9955,1,,,
93,,,103.365,-604.5723,462.6046,1,,,
94,,,103.0154,-604.7546,461.2826,1,,,
95,,,102.6807,-604.9124,460.0012,1,,,
96,,,102.3783,-605.0812,458.7518,1,,,
97,,,102.092,-605.2527,457.5531,1,,,
98,,,101.8103,-605.3864,456.4549,1,,,
99,,,101.5433,-605.524,455.4174,1,,,
100,,,101.2886,-605.6575,454.4149,1,,,
101,,,100.9278,-605.8514,452.9825,1,,,
102,,,100.5941,-606.0217,451.6722,1,,,
103,,,100.2943,-606.1901,450.4829,1,,,
104,,,100.0576,-606.3403,449.3666,1,,,
105,,,99.7513,-606.5032,448.3379,1,,,
106,,,99.4457,-606.646,447.2834,1,,,
107,,,99.2775,-606.8001,446.1332,1,,,
108,,,98.9675,-606.9644,445.0094,1,,,
109,,,98.5864,-607.1267,443.8438,1,,,
110,,,98.2836,-607.3143,442.6217,1,,,
111,,,97.9689,-607.502,441.3162,1,,,
112,,,97.6022,-607.6876,439.9192,1,,,
113,,,97.2465,-607.8904,438.4825,1,,,
114,,,96.8684,-608.0834,437.0119,1,,,
115,,,96.5022,-608.2984,435.55,1,,,
116,,,96.2528,-608.4343,434.5479,1,,,
117,,,95.9958,-608.5658,433.5406,1,,,
118,,,95.7494,-608.7175,432.5291,1,,,
119,,,95.4941,-608.8686,431.5003,1,,,
120,,,95.2118,-609.0152,430.4877,1,,,
121,,,94.9545,-609.1512,429.4836,1,,,
122,,,94.7182,-609.2907,428.4598,1,,,
123,,,94.4643,-609.4432,427.467,1,,,
124,,,94.0895,-609.6104,426.0337,1,,,
125,,,93.7017,-609.7558,424.6227,1,,,
