x,y,z,yaw,velocity,change_flag
-14.2645,-3.8523,-2.5104,-0.0778,0,0
-13.2303,-3.9943,-2.3308,-0.0756,1.6464,0
-12.1503,-4.1037,-2.1612,-0.0637,3.2071,0
-11.1111,-4.1921,-1.9903,-0.0169,5.7112,0
-9.9231,-4.2688,-1.7661,0.0540,7.4552,0
-8.8240,-4.2403,-1.5867,0.1261,8.3030,0
-7.5846,-4.1261,-1.4027,0.2090,9.6914,0
-6.5201,-3.9392,-1.2241,0.2801,9.5850,0
-5.4688,-3.6556,-1.0175,0.3393,10.3482,0
-4.3340,-3.3056,-0.8285,0.3777,10.7958,0
-3.1736,-2.8474,-0.5764,0.3931,12.0368,0
-1.9264,-2.3890,-0.3731,0.3865,12.2979,0
-0.9282,-2.0241,-0.2322,0.3709,12.7087,0
0.1158,-1.6671,-0.0507,0.3430,13.7787,0
1.2157,-1.3369,0.1309,0.3092,14.0721,0
2.3861,-1.0225,0.3033,0.2698,14.7258,0
3.5992,-0.7698,0.5043,0.2288,15.1568,0
4.8739,-0.5500,0.6912,0.1875,15.5893,0
6.2144,-0.3737,0.9185,0.1455,16.6596,0
7.5851,-0.2655,1.1042,0.1090,16.5051,0
9.0084,-0.2037,1.3233,0.0784,17.4824,0
10.4920,-0.1651,1.5446,0.0573,18.2579,0
11.4944,-0.1604,1.6779,0.0492,17.9655,0
12.9789,-0.1884,1.8972,0.0417,18.0972,0
14.0132,-0.1909,2.0501,0.0364,18.7212,0
15.0638,-0.2004,2.1999,0.0331,19.0543,0
16.1327,-0.2195,2.3456,0.0317,19.4667,0
17.2248,-0.2270,2.4958,0.0312,19.7400,0
18.3008,-0.2416,2.6468,0.0311,19.4537,0
19.3873,-0.2737,2.7950,0.0323,19.5854,0
20.4948,-0.2933,2.9537,0.0324,19.9801,0
21.6303,-0.2987,3.1122,0.0327,20.2569,0
22.7435,-0.3079,3.2699,0.0335,20.0381,0
23.8574,-0.3285,3.4133,0.0350,20.1233,0
24.9593,-0.3418,3.5594,0.0364,19.8910,0
26.0817,-0.3642,3.7160,0.0375,20.3342,0
27.2001,-0.3693,3.8545,0.0386,20.1020,0
28.3289,-0.3809,4.0013,0.0386,20.3071,0
29.4573,-0.3941,4.1602,0.0387,20.2256,0
30.5795,-0.4105,4.2980,0.0388,19.9586,0
31.6816,-0.4231,4.4468,0.0374,19.7349,0
32.7907,-0.4326,4.5887,0.0365,20.0738,0
33.9214,-0.4492,4.7263,0.0370,20.4854,0
35.0516,-0.4646,4.8664,0.0377,20.3605,0
36.1571,-0.4822,5.0083,0.0386,19.9088,0
37.2843,-0.4963,5.1629,0.0395,20.2850,0
38.4013,-0.4971,5.2858,0.0401,19.9229,0
39.5228,-0.5038,5.4213,0.0408,20.2322,0
40.6416,-0.5145,5.5566,0.0413,19.9486,0
41.7544,-0.5302,5.6948,0.0423,20.1189,0
42.8771,-0.5397,5.8436,0.0434,20.0987,0
43.9803,-0.5550,5.9882,0.0441,19.8414,0
45.0930,-0.5543,6.1288,0.0444,20.0998,0
46.2020,-0.5644,6.2546,0.0449,19.9813,0
47.3140,-0.5691,6.3870,0.0457,20.0506,0
48.4153,-0.5770,6.5394,0.0452,19.5750,0
49.5337,-0.5885,6.6787,0.0448,20.1870,0
50.6558,-0.5795,6.8045,0.0444,20.1033,0
51.7685,-0.5863,6.9387,0.0443,19.9636,0
52.8841,-0.6029,7.0752,0.0443,20.1607,0
54.0159,-0.6114,7.2327,0.0447,20.4501,0
55.1527,-0.6224,7.3797,0.0457,20.3819,0
56.3053,-0.6340,7.5206,0.0466,20.9713,0
57.4649,-0.6267,7.6677,0.0469,20.7383,0
58.6074,-0.6349,7.7977,0.0474,20.5078,0
59.7423,-0.6356,7.9451,0.0478,20.2961,0
60.8923,-0.6428,8.0854,0.0485,20.7691,0
62.0378,-0.6523,8.2339,0.0491,20.5114,0
63.1879,-0.6550,8.3748,0.0488,20.8263,0
64.3845,-0.6552,8.5173,0.0492,21.6650,0
65.5650,-0.6547,8.6766,0.0493,21.0487,0
66.7379,-0.6556,8.8145,0.0495,21.4252,0
67.9643,-0.6551,8.9755,0.0482,22.1405,0
69.1948,-0.6444,9.1448,0.0474,22.0431,0
70.3778,-0.6324,9.3004,0.0465,20.9792,0
71.5310,-0.6354,9.4556,0.0458,20.7029,0
72.7119,-0.6378,9.5978,0.0454,21.2905,0
73.9127,-0.6373,9.7504,0.0445,21.4659,0
75.0796,-0.6451,9.9081,0.0446,20.9637,0
76.2521,-0.6521,10.0730,0.0441,21.2817,0
77.4315,-0.6517,10.2224,0.0436,21.1390,0
78.6192,-0.6546,10.3703,0.0427,21.6672,0
79.8107,-0.6554,10.5173,0.0422,21.0750,0
80.9878,-0.6643,10.6690,0.0415,21.0381,0
82.1719,-0.6778,10.8251,0.0396,21.5433,0
83.3421,-0.6822,10.9789,0.0375,21.2837,0
84.5197,-0.6933,11.1309,0.0349,21.1944,0
85.7082,-0.7076,11.2770,0.0328,21.1349,0
86.8886,-0.7382,11.4338,0.0304,21.2199,0
88.0754,-0.7536,11.5993,0.0277,21.6517,0
89.2617,-0.7714,11.7433,0.0250,21.5476,0
90.4491,-0.7927,11.8900,0.0229,21.2621,0
91.6241,-0.8269,12.0346,0.0204,21.0051,0
92.7798,-0.8652,12.1998,0.0185,20.9315,0
93.9596,-0.9018,12.3296,0.0169,21.1848,0
95.1214,-0.9377,12.4723,0.0178,21.0600,0
96.2955,-0.9677,12.6416,0.0197,21.3327,0
97.4680,-1.0060,12.7793,0.0236,20.9835,0
98.6406,-1.0376,12.9201,0.0270,20.9562,0
99.7875,-1.0663,13.0973,0.0304,20.6148,0
100.9502,-1.0845,13.2381,0.0358,21.0031,0
102.1268,-1.0980,13.3589,0.0418,21.1579,0
103.2943,-1.1025,13.5234,0.0477,21.0723,0
104.4332,-1.1033,13.6858,0.0563,20.1976,0
105.5636,-1.0948,13.8397,0.0655,20.5025,0
106.7049,-1.0636,13.9709,0.0767,20.4851,0
107.8513,-1.0335,14.1307,0.0906,20.6783,0
109.0126,-1.0027,14.2805,0.1078,21.0611,0
110.1210,-0.9323,14.4315,0.1233,19.6234,0
111.2013,-0.8454,14.5627,0.1385,19.5739,0
112.2742,-0.7441,14.6963,0.1550,19.5601,0
113.3137,-0.6372,14.8318,0.1708,18.4034,0
114.3082,-0.5143,14.9665,0.1858,17.9427,0
115.7350,-0.3183,15.1590,0.2078,16.8567,0
117.0796,-0.0934,15.3172,0.2273,15.9975,0
118.3184,0.1308,15.4627,0.2464,14.8304,0
119.4698,0.3613,15.6132,0.2626,13.8967,0
120.5220,0.5942,15.7493,0.2776,12.3501,0
121.7281,0.8845,15.8927,0.2874,10.7105,0
122.7725,1.1314,16.0280,0.2933,8.7706,0
123.9146,1.4117,16.1743,0.2981,6.4150,0
124.9417,1.6783,16.3120,0.2900,2.6794,0
125.9450,1.9279,16.4184,0.2594,3.3207,0
127.0015,2.1119,16.5521,0.1699,5.6631,0
128.1864,2.1791,16.6942,0.0400,7.9305,0
