PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE
132,,,12.2857,-29.4203,72.0564,1,,,
133,,,12.4347,-30.2553,72.9308,1,,,
134,,,12.5821,-31.0869,73.7606,1,,,
135,,,12.7525,-31.8895,74.6072,1,,,
136,,,12.9459,-32.7715,75.5104,1,,,
137,,,13.127,-33.7349,76.3801,1,,,
138,,,13.2744,-34.6315,77.2237,1,,,
139,,,13.4257,-35.5084,78.0124,1,,,
140,,,13.5744,-36.4035,78.7898,1,,,
141,,,13.7312,-37.3604,79.5532,1,,,
142,,,13.8964,-38.3162,80.3175,1,,,
143,,,14.0449,-39.2686,81.1197,1,,,
144,,,14.2334,-40.2071,81.8573,1,,,
145,,,14.4046,-41.165,82.5851,1,,,
146,,,14.5541,-42.1353,83.3714,1,,,
147,,,14.7341,-43.1251,84.1377,1,,,
148,,,14.8933,-44.0949,84.8607,1,,,
149,,,15.063,-45.06,85.61,1,,,
150,,,15.2401,-46.0342,86.3318,1,,,
151,,,15.4007,-47.0093,87.0227,1,,,
152,,,15.5464,-47.9546,87.7074,1,,,
153,,,15.7092,-48.9102,88.3923,1,,,
154,,,15.8833,-49.8932,89.0704,1,,,
155,,,16.0411,-50.8837,89.7327,1,,,
156,,,16.1926,-51.8523,90.3923,1,,,
157,,,16.3602,-52.832,91.0446,1,,,
158,,,16.5224,-53.8207,91.6631,1,,,
159,,,16.6522,-54.8019,92.2745,1,,,
160,,,16.8103,-55.7876,92.8646,1,,,
161,,,16.9638,-56.7538,93.4395,1,,,
162,,,17.1118,-57.7304,93.9789,1,,,
163,,,17.2464,-58.6796,94.4924,1,,,
164,,,17.3606,-59.5986,94.9636,1,,,
165,,,17.4893,-60.499,95.4247,1,,,
166,,,17.6626,-61.805,96.0594,1,,,
167,,,17.8262,-63.0729,96.6292,1,,,
168,,,17.971,-64.2897,97.1597,1,,,
169,,,18.1205,-65.4378,97.6467,1,,,
170,,,18.2234,-66.5266,98.0864,1,,,
171,,,18.3416,-67.551,98.4773,1,,,
172,,,18.4982,-68.7764,98.9356,1,,,
173,,,18.6003,-69.839,99.314,1,,,
174,,,18.747,-70.9615,99.6875,1,,,
175,,,18.8616,-71.9368,100.0125,1,,,
176,,,18.9735,-72.9709,100.364,1,,,
177,,,19.1146,-74.0833,100.7551,1,,,
178,,,19.2675,-75.1318,101.151,1,,,
179,,,19.4127,-76.1658,101.5868,1,,,
180,,,19.616,-77.3829,102.1501,1,,,
181,,,19.7921,-78.4298,102.735,1,,,
182,,,19.9924,-79.5189,103.3884,1,,,
183,,,20.2089,-80.6273,104.1633,1,,,
184,,,20.4347,-81.7439,105.075,1,,,
185,,,20.6874,-82.8123,106.1169,1,,,
186,,,20.8746,-83.4813,106.8629,1,,,
187,,,21.055,-84.1039,107.6512,1,,,
188,,,21.255,-84.7171,108.4517,1,,,
189,,,21.4008,-85.2734,109.3076,1,,,
190,,,21.587,-85.7748,110.2336,1,,,
191,,,21.8213,-86.2321,111.1614,1,,,
192,,,21.9902,-86.6736,112.1215,1,,,
193,,,22.1869,-87.0624,113.0831,1,,,
194,,,22.3735,-87.3942,114.064,1,,,
195,,,22.5668,-87.7043,115.1103,1,,,
196,,,22.7267,-87.9475,116.1587,1,,,
197,,,22.9056,-88.1447,117.2221,1,,,
198,,,23.0911,-88.2825,118.3207,1,,,
199,,,23.2678,-88.3748,119.4659,1,,,
200,,,23.4812,-88.4547,120.6493,1,,,
201,,,23.6758,-88.4976,121.8645,1,,,
202,,,23.8791,-88.5021,123.0381,1,,,
203,,,24.0804,-88.4426,124.1592,1,,,
204,,,24.2479,-88.3401,125.28,1,,,
205,,,24.43,-88.217,126.4218,1,,,
206,,,24.6217,-88.0884,127.5569,1,,,
207,,,24.7885,-87.9474,128.7021,1,,,
208,,,24.9786,-87.8136,129.8328,1,,,
209,,,25.1577,-87.6852,130.9583,1,,,
210,,,25.32,-87.563,132.1061,1,,,
211,,,25.49,-87.4637,133.2809,1,,,
212,,,25.6675,-87.3673,134.4545,1,,,
213,,,25.8535,-87.3009,135.6198,1,,,
214,,,26.016,-87.2547,136.8002,1,,,
215,,,26.1944,-87.2281,137.9811,1,,,
