x,y,z,yaw,velocity,change_flag
178.6168,-86.1574,32.3632,2.5707,0,0
177.7958,-85.5498,32.2299,2.6333,3.8513,0
176.9017,-85.0928,32.1571,2.6033,4.7127,0
176.0667,-84.5329,32.1005,2.5319,5.9830,0
175.1597,-83.8026,31.9119,2.4282,6.7307,0
174.3799,-82.9266,31.5499,2.2947,9.6828,0
173.7980,-81.9541,30.7878,2.1402,11.9221,0
173.2154,-81.0506,30.9852,2.0056,11.3102,0
172.8596,-79.9398,30.8845,1.8983,12.3116,0
172.5093,-78.7959,30.8818,1.8082,10.8726,0
172.2799,-77.4970,30.8306,1.7414,12.1159,0
172.1556,-76.4926,30.7019,1.7005,11.9836,0
172.0850,-75.4217,30.6233,1.6736,12.6934,0
172.0521,-74.3007,30.6124,1.6566,13.8391,0
171.9883,-73.0579,30.5393,1.6473,14.9813,0
171.8930,-71.7858,30.5082,1.6367,15.2891,0
171.8866,-70.4804,30.4483,1.6303,16.1129,0
171.8663,-69.0986,30.3832,1.6249,16.4727,0
171.8333,-67.7170,30.3634,1.6190,16.4186,0
171.8440,-66.3155,30.2968,1.6182,16.9715,0
171.8613,-64.8842,30.2405,1.6198,16.9407,0
171.8496,-63.4790,30.2238,1.6191,16.6745,0
171.8451,-61.9851,30.1768,1.6188,18.1561,0
171.8349,-60.4926,30.1157,1.6180,17.8442,0
171.8422,-59.4493,30.0920,1.6178,18.9278,0
171.8421,-58.4198,30.0718,1.6179,18.3318,0
171.8302,-57.4145,30.0434,1.6174,17.8269,0
171.8343,-55.9368,29.9947,1.6172,17.5104,0
171.8089,-54.4627,29.9529,1.6163,17.4841,0
171.8072,-53.0208,29.8896,1.6164,16.8673,0
171.8026,-51.6000,29.8193,1.6166,16.8029,0
171.7961,-50.2195,29.7747,1.6151,16.4667,0
171.7885,-48.8626,29.7449,1.6139,15.9964,0
171.7765,-47.5126,29.7017,1.6140,16.0992,0
171.7958,-46.2179,29.6415,1.6158,15.0832,0
171.7827,-44.9823,29.6018,1.6167,14.8118,0
171.7849,-43.7790,29.5716,1.6172,14.0797,0
171.7841,-42.6270,29.5372,1.6182,13.6163,0
171.7799,-41.4548,29.4961,1.6196,14.0909,0
171.7845,-40.3432,29.4489,1.6207,12.9159,0
171.7790,-39.2613,29.4163,1.6206,12.8001,0
171.7679,-38.1843,29.3872,1.6189,12.8624,0
171.7637,-37.1145,29.3622,1.6172,12.5292,0
171.7600,-36.0889,29.3367,1.6154,11.9407,0
171.7565,-34.7698,29.3075,1.6143,11.8908,0
171.7602,-33.4794,29.2564,1.6107,11.3046,0
171.7541,-32.2123,29.2141,1.6084,11.2243,0
171.7659,-30.9467,29.1926,1.6079,11.0815,0
171.7645,-29.6689,29.1352,1.6098,11.3248,0
171.7680,-28.3688,29.1099,1.6100,11.4318,0
171.7675,-27.0718,29.0696,1.6115,11.6260,0
171.7673,-25.7685,29.0184,1.6122,11.4864,0
171.7681,-24.4531,28.9804,1.6130,11.7506,0
171.7624,-23.1586,28.9328,1.6141,11.6524,0
171.7494,-21.8773,28.9058,1.6149,11.2676,0
171.7447,-20.6144,28.8649,1.6144,11.0689,0
171.7577,-19.3704,28.8286,1.6130,11.0648,0
171.7479,-18.0708,28.7918,1.6130,11.9250,0
171.7449,-17.0566,28.7868,1.6123,12.3398,0
171.7502,-15.9868,28.7575,1.6115,12.8848,0
171.7510,-14.8662,28.7348,1.6109,13.5360,0
171.7533,-13.6882,28.7383,1.6103,14.0683,0
171.7563,-12.4776,28.7122,1.6096,14.6176,0
171.7623,-11.2323,28.7053,1.6121,15.0207,0
171.7675,-9.9582,28.6708,1.6131,15.0778,0
171.7578,-8.6255,28.6556,1.6152,16.1101,0
171.7455,-7.2489,28.6220,1.6165,16.5910,0
171.7563,-5.8365,28.5988,1.6187,17.0071,0
171.7452,-4.3989,28.5830,1.6203,17.0927,0
171.7393,-2.8965,28.5620,1.6232,18.1379,0
171.7320,-1.4103,28.5299,1.6255,17.4516,0
171.7234,0.0687,28.5208,1.6279,17.8248,0
171.6924,1.5699,28.5140,1.6299,18.1673,0
171.6836,2.6042,28.4643,1.6307,18.4532,0
171.6853,3.6326,28.4317,1.6311,18.3578,0
171.6693,4.6679,28.4326,1.6303,18.6187,0
171.6495,5.7348,28.4386,1.6291,19.1474,0
