PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
81,0,0,6.1389,8.9727,45.3044,1,0,0,0
82,0,0,6.0511,8.2794,44.246,1,0,0,0
83,0,0,5.9633,7.5044,43.2644,1,0,0,0
84,0,0,5.8927,6.6962,42.2542,1,0,0,0
85,0,0,5.8185,5.8269,41.3341,1,0,0,0
86,0,0,5.7393,4.9048,40.4287,1,0,0,0
87,0,0,5.7078,3.9257,39.6816,1,0,0,0
88,0,0,5.6619,2.8731,38.9704,1,0,0,0
89,0,0,5.6577,1.7485,38.3736,1,0,0,0
90,0,0,5.6631,0.598,37.8886,1,0,0,0
91,0,0,5.668,-0.6173,37.4535,1,0,0,0
92,0,0,5.7326,-1.8765,37.2017,1,0,0,0
93,0,0,5.7988,-3.1447,37.0979,1,0,0,0
94,0,0,5.8609,-4.4107,37.0743,1,0,0,0
95,0,0,5.9984,-5.6382,37.1713,1,0,0,0
96,0,0,6.0967,-6.9404,37.4447,1,0,0,0
97,0,0,6.2483,-8.1494,37.7952,1,0,0,0
98,0,0,6.3935,-9.2552,38.2354,1,0,0,0
99,0,0,6.6077,-10.3521,38.8066,1,0,0,0
100,0,0,6.7766,-11.3813,39.4595,1,0,0,0
101,0,0,6.9816,-12.2895,40.1498,1,0,0,0
102,0,0,7.1798,-13.1383,40.8907,1,0,0,0
103,0,0,7.3599,-13.9095,41.6838,1,0,0,0
104,0,0,7.5289,-14.59,42.5206,1,0,0,0
105,0,0,7.7007,-15.2234,43.4109,1,0,0,0
174,0,0,18.747,-70.961,99.488,1,0,0,0
175,0,0,18.862,-71.937,99.913,1,0,0,0
176,0,0,18.974,-72.971,100.314,1,0,0,0
177,0,0,19.1146,-74.0833,100.7551,1,0,0,0
178,0,0,19.2675,-75.1318,101.151,1,0,0,0
179,0,0,19.4127,-76.1658,101.5868,1,0,0,0
180,0,0,19.616,-77.3829,102.1501,1,0,0,0
181,0,0,19.7921,-78.4298,102.735,1,0,0,0
182,0,0,19.9924,-79.5189,103.3884,1,0,0,0
183,0,0,20.2089,-80.6273,104.1633,1,0,0,0
184,0,0,20.4347,-81.7439,105.075,1,0,0,0
185,0,0,20.6874,-82.8123,106.1169,1,0,0,0
186,0,0,20.8746,-83.4813,106.8629,1,0,0,0
187,0,0,21.055,-84.1039,107.6512,1,0,0,0
188,0,0,21.255,-84.7171,108.4517,1,0,0,0
189,0,0,21.4008,-85.2734,109.3076,1,0,0,0
190,0,0,21.587,-85.7748,110.2336,1,0,0,0
191,0,0,21.8213,-86.2321,111.1614,1,0,0,0
192,0,0,21.9902,-86.6736,112.1215,1,0,0,0
193,0,0,22.1869,-87.0624,113.0831,1,0,0,0
194,0,0,22.3735,-87.3942,114.064,1,0,0,0
195,0,0,22.5668,-87.7043,115.1103,1,0,0,0
196,0,0,22.7267,-87.9475,116.1587,1,0,0,0
197,0,0,22.9056,-88.1447,117.2221,1,0,0,0
198,0,0,23.0911,-88.2825,118.3207,1,0,0,0
199,0,0,23.2678,-88.3748,119.4659,1,0,0,0
200,0,0,23.4812,-88.4547,120.6493,1,0,0,0
201,0,0,23.6758,-88.4976,121.8645,1,0,0,0
202,0,0,23.8791,-88.5021,123.0381,1,0,0,0
203,0,0,24.0804,-88.4426,124.1592,1,0,0,0
204,0,0,24.2479,-88.3401,125.28,1,0,0,0
205,0,0,24.43,-88.217,126.4218,1,0,0,0
206,0,0,24.6217,-88.0884,127.5569,1,0,0,0
207,0,0,24.7885,-87.9474,128.7021,1,0,0,0
208,0,0,24.9786,-87.8136,129.8328,1,0,0,0
209,0,0,25.1577,-87.6852,130.9583,1,0,0,0
210,0,0,25.32,-87.563,132.1061,1,0,0,0
211,0,0,25.49,-87.4637,133.2809,1,0,0,0
212,0,0,25.6675,-87.3673,134.4545,1,0,0,0
213,0,0,25.8535,-87.3009,135.6198,1,0,0,0
214,0,0,26.016,-87.2547,136.8002,1,0,0,0
215,0,0,26.1944,-87.2281,137.9811,1,0,0,0
216,0,0,26.3966,-87.214,139.173,1,0,0,0
217,0,0,26.5975,-87.2413,140.359,1,0,0,0
218,0,0,26.7714,-87.2865,141.5518,1,0,0,0
219,0,0,26.9678,-87.3611,142.7704,1,0,0,0
220,0,0,27.1838,-87.4489,143.9895,1,0,0,0
221,0,0,27.3879,-87.5811,145.196,1,0,0,0
222,0,0,27.6027,-87.7407,146.4014,1,0,0,0
223,0,0,27.807,-87.9208,147.6367,1,0,0,0
224,0,0,28.0097,-88.1324,148.8701,1,0,0,0
225,0,0,28.2242,-88.3711,150.0928,1,0,0,0
226,0,0,28.4608,-88.6217,151.3287,1,0,0,0
227,0,0,28.6947,-88.9024,152.5686,1,0,0,0
228,0,0,28.9278,-89.2274,153.8167,1,0,0,0
229,0,0,29.1415,-89.5943,155.0494,1,0,0,0
230,0,0,29.3484,-89.9934,156.2753,1,0,0,0
231,0,0,29.6037,-90.4166,157.4944,1,0,0,0
232,0,0,29.834,-90.859,158.677,1,0,0,0
233,0,0,30.0507,-91.3401,159.8497,1,0,0,0
234,0,0,30.2939,-91.8495,161.0264,1,0,0,0
235,0,0,30.5384,-92.3759,162.198,1,0,0,0
236,0,0,30.7821,-92.9584,163.406,1,0,0,0
237,0,0,31.0206,-93.5663,164.5717,1,0,0,0
238,0,0,31.2705,-94.1728,165.6875,1,0,0,0
239,0,0,31.472,-94.8068,166.8117,1,0,0,0
240,0,0,31.7345,-95.4743,167.9174,1,0,0,0
241,0,0,31.9695,-96.1488,169.0363,1,0,0,0
242,0,0,32.1942,-96.8564,170.1306,1,0,0,0
243,0,0,32.4416,-97.5838,171.2379,1,0,0,0
244,0,0,32.6785,-98.335,172.3133,1,0,0,0
245,0,0,32.9268,-99.0914,173.3769,1,0,0,0
246,0,0,33.159,-99.871,174.417,1,0,0,0
247,0,0,33.3727,-100.6252,175.4442,1,0,0,0
248,0,0,33.6105,-101.3936,176.4281,1,0,0,0
249,0,0,33.8365,-102.1877,177.435,1,0,0,0
250,0,0,34.07,-102.9678,178.407,1,0,0,0
251,0,0,34.3244,-103.7528,179.3872,1,0,0,0
252,0,0,34.5373,-104.548,180.3795,1,0,0,0
253,0,0,34.773,-105.3548,181.3551,1,0,0,0
254,0,0,34.9868,-106.1627,182.3572,1,0,0,0
255,0,0,35.2207,-106.9535,183.3412,1,0,0,0
256,0,0,35.4631,-107.7712,184.3623,1,0,0,0
257,0,0,35.698,-108.5931,185.3899,1,0,0,0
258,0,0,35.9237,-109.3857,186.3842,1,0,0,0
259,0,0,36.1576,-110.1937,187.3854,1,0,0,0
260,0,0,36.4021,-111.0165,188.4039,1,0,0,0
261,0,0,36.6482,-111.8185,189.411,1,0,0,0
262,0,0,36.8734,-112.6469,190.4251,1,0,0,0
263,0,0,37.1144,-113.4702,191.4477,1,0,0,0
264,0,0,37.3554,-114.2782,192.4917,1,0,0,0
265,0,0,37.5837,-115.1064,193.4827,1,0,0,0
266,0,0,37.8165,-115.9047,194.4665,1,0,0,0
267,0,0,38.0513,-116.7118,195.4923,1,0,0,0
268,0,0,38.2824,-117.5262,196.4966,1,0,0,0
269,0,0,38.514,-118.3445,197.4992,1,0,0,0
270,0,0,38.7698,-119.1697,198.5076,1,0,0,0
271,0,0,39.0135,-120.0071,199.5581,1,0,0,0
272,0,0,39.2346,-120.8174,200.5437,1,0,0,0
273,0,0,39.4621,-121.6199,201.5158,1,0,0,0
274,0,0,39.69,-122.4401,202.5281,1,0,0,0
275,0,0,39.9281,-123.2539,203.546,1,0,0,0
276,0,0,40.1819,-124.0775,204.5497,1,0,0,0
277,0,0,40.4161,-124.8971,205.5592,1,0,0,0
278,0,0,40.6566,-125.7377,206.5808,1,0,0,0
279,0,0,40.8916,-126.5787,207.5922,1,0,0,0
280,0,0,41.1223,-127.4129,208.6033,1,0,0,0
281,0,0,41.3732,-128.2774,209.6254,1,0,0,0
282,0,0,41.6174,-129.1412,210.6651,1,0,0,0
283,0,0,41.8777,-129.9812,211.6743,1,0,0,0
284,0,0,42.134,-130.7896,212.6744,1,0,0,0
285,0,0,42.3764,-131.6286,213.6749,1,0,0,0
286,0,0,42.6411,-132.4563,214.6745,1,0,0,0
287,0,0,42.8945,-133.3038,215.6839,1,0,0,0
288,0,0,43.1483,-134.147,216.693,1,0,0,0
289,0,0,43.3955,-134.9845,217.6869,1,0,0,0
290,0,0,43.6558,-135.8312,218.6836,1,0,0,0
291,0,0,43.8946,-136.6696,219.7,1,0,0,0
292,0,0,44.1629,-137.5167,220.7072,1,0,0,0
293,0,0,44.4055,-138.3492,221.6979,1,0,0,0
294,0,0,44.6791,-139.1742,222.7067,1,0,0,0
295,0,0,44.9207,-140.012,223.7329,1,0,0,0
296,0,0,45.1887,-140.8481,224.7354,1,0,0,0
297,0,0,45.4384,-141.6623,225.7288,1,0,0,0
298,0,0,45.7123,-142.4687,226.7217,1,0,0,0
299,0,0,45.9891,-143.2931,227.7221,1,0,0,0
300,0,0,46.2463,-144.0961,228.6938,1,0,0,0
301,0,0,46.4831,-144.8756,229.6396,1,0,0,0
302,0,0,46.715,-145.6432,230.5682,1,0,0,0
303,0,0,46.9515,-146.4168,231.4859,1,0,0,0
304,0,0,47.1887,-147.164,232.3772,1,0,0,0
305,0,0,47.419,-147.8741,233.245,1,0,0,0
306,0,0,47.6556,-148.5628,234.0803,1,0,0,0
307,0,0,47.891,-149.2422,234.9037,1,0,0,0
308,0,0,48.1014,-149.8892,235.6978,1,0,0,0
309,0,0,48.3957,-150.7919,236.7953,1,0,0,0
310,0,0,48.6612,-151.6358,237.817,1,0,0,0
311,0,0,48.9078,-152.3954,238.7668,1,0,0,0
312,0,0,49.1277,-153.1006,239.6295,1,0,0,0
313,0,0,49.39,-153.9131,240.6258,1,0,0,0
314,0,0,49.6263,-154.5804,241.4332,1,0,0,0
315,0,0,49.8536,-155.2285,242.2153,1,0,0,0
316,0,0,50.0586,-155.8631,243.018,1,0,0,0
317,0,0,50.2882,-156.534,243.8509,1,0,0,0
318,0,0,50.5387,-157.3231,244.8037,1,0,0,0
319,0,0,50.7532,-158.0731,245.7282,1,0,0,0
320,0,0,50.9455,-158.7327,246.5303,1,0,0,0
321,0,0,51.2016,-159.4312,247.3849,1,0,0,0
322,0,0,51.4633,-160.2278,248.3389,1,0,0,0
323,0,0,51.7529,-161.0831,249.3819,1,0,0,0
324,0,0,51.9548,-161.7138,250.1593,1,0,0,0
325,0,0,52.1532,-162.3811,250.941,1,0,0,0
326,0,0,52.3654,-163.0776,251.7793,1,0,0,0
