PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
5,32.5959543,129.3002501,9.814,-14.073,64.92,1,4929,34,90
6,32.5959521,129.300254,9.989,-14.758,65.938,1,4929,34,90
7,0,0,10.1543,-15.4659,67.0717,1,0,0,0
8,0,0,10.2663,-15.9894,67.9371,1,0,0,0
9,0,0,10.4183,-16.7131,69.0266,1,0,0,0
10,0,0,10.5444,-17.3284,69.8546,1,0,0,0
11,0,0,10.642,-18.0369,70.6428,1,0,0,0
12,0,0,10.7415,-18.848,71.448,1,0,0,0
13,0,0,10.8355,-19.6826,72.2046,1,0,0,0
14,0,0,10.9192,-20.5661,72.9785,1,0,0,0
15,0,0,11.0135,-21.5315,73.6907,1,0,0,0
16,0,0,11.0816,-22.5539,74.394,1,0,0,0
17,0,0,11.1477,-23.654,75.0508,1,0,0,0
18,0,0,11.2128,-24.8028,75.6486,1,0,0,0
19,0,0,11.2689,-26.0042,76.2258,1,0,0,0
20,0,0,11.2953,-27.276,76.7453,1,0,0,0
21,0,0,11.3183,-28.5952,77.2218,1,0,0,0
22,0,0,11.3582,-29.9945,77.6336,1,0,0,0
23,0,0,11.3644,-31.4183,78.0009,1,0,0,0
24,0,0,11.3513,-32.398,78.2321,1,0,0,0
25,0,0,11.3737,-33.4032,78.4507,1,0,0,0
26,0,0,11.4017,-34.4253,78.6526,1,0,0,0
27,0,0,11.433,-35.4582,78.8207,1,0,0,0
28,0,0,11.456,-36.486,79.036,1,0,0,0
29,0,0,11.403,-37.564,79.274,1,0,0,0
30,0,0,11.399,-38.656,79.543,1,0,0,0
31,0,0,11.413,-39.722,79.876,1,0,0,0
330,0,0,13.7196,-87.8785,94.5038,1,0,0,0
331,0,0,13.7107,-86.5355,94.4741,1,0,0,0
332,0,0,13.7012,-85.3754,94.4146,1,0,0,0
333,0,0,13.7194,-84.1161,94.3791,1,0,0,0
334,0,0,13.7315,-82.8932,94.3372,1,0,0,0
335,0,0,13.7356,-81.6659,94.2965,1,0,0,0
336,0,0,13.7365,-80.4528,94.2714,1,0,0,0
337,0,0,13.7304,-79.2493,94.2297,1,0,0,0
338,0,0,13.757,-78.0423,94.1845,1,0,0,0
339,0,0,13.7926,-76.8423,94.1463,1,0,0,0
340,0,0,13.7927,-75.6541,94.1103,1,0,0,0
341,0,0,13.7761,-74.4709,94.0912,1,0,0,0
342,0,0,13.7994,-73.2605,94.0573,1,0,0,0
343,0,0,13.8092,-72.071,94.0161,1,0,0,0
344,0,0,13.8113,-70.8997,93.9913,1,0,0,0
345,0,0,13.7932,-69.7291,93.9515,1,0,0,0
346,0,0,13.7999,-68.5483,93.9282,1,0,0,0
347,0,0,13.7885,-67.3785,93.8965,1,0,0,0
348,0,0,13.7845,-66.2141,93.8793,1,0,0,0
349,0,0,13.782,-65.0606,93.841,1,0,0,0
350,0,0,13.7901,-63.884,93.7962,1,0,0,0
351,0,0,13.8001,-62.7163,93.7717,1,0,0,0
352,0,0,13.7863,-61.5512,93.7511,1,0,0,0
353,0,0,13.7675,-60.3991,93.7196,1,0,0,0
354,0,0,13.7554,-59.2697,93.6983,1,0,0,0
355,0,0,13.7664,-58.1534,93.6697,1,0,0,0
356,0,0,13.764,-57.0582,93.6312,1,0,0,0
357,0,0,13.7537,-56.0095,93.6007,1,0,0,0
358,0,0,13.7295,-54.9877,93.5797,1,0,0,0
359,0,0,13.7144,-53.5015,93.5353,1,0,0,0
360,0,0,13.7155,-52.4878,93.5228,1,0,0,0
361,0,0,13.7027,-51.4852,93.5025,1,0,0,0
362,0,0,13.694,-50.0312,93.4591,1,0,0,0
363,0,0,13.6739,-48.6346,93.4206,1,0,0,0
364,0,0,13.6627,-47.33,93.3927,1,0,0,0
365,0,0,13.6371,-46.1359,93.3702,1,0,0,0
366,0,0,13.6313,-45.0744,93.3401,1,0,0,0
367,0,0,13.6003,-43.8496,93.3221,1,0,0,0
368,0,0,13.595,-42.8119,93.3045,1,0,0,0
369,0,0,13.5969,-41.7216,93.295,1,0,0,0
370,0,0,13.5827,-40.6944,93.2766,1,0,0,0
371,0,0,13.5726,-39.5778,93.2506,1,0,0,0
