PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE
1,,,9.1499,-13.1568,60.3779,1,,,
2,,,9.2946,-13.3367,61.384,1,,,
3,,,9.4737,-13.6129,62.5628,1,,,
4,,,9.6604,-13.979,63.7694,1,,,
5,,,9.8139,-14.373,64.82,1,,,
6,,,9.9887,-14.8585,65.9376,1,,,
7,,,10.1543,-15.4659,67.0717,1,,,
8,,,10.2663,-15.9894,67.9371,1,,,
9,,,10.4183,-16.7131,69.0266,1,,,
10,,,10.5444,-17.3284,69.8546,1,,,
11,,,10.642,-18.0369,70.6428,1,,,
12,,,10.7415,-18.848,71.448,1,,,
13,,,10.8355,-19.6826,72.2046,1,,,
14,,,10.9192,-20.5661,72.9785,1,,,
15,,,11.0135,-21.5315,73.6907,1,,,
16,,,11.0816,-22.5539,74.394,1,,,
17,,,11.1477,-23.654,75.0508,1,,,
18,,,11.2128,-24.8028,75.6486,1,,,
19,,,11.2689,-26.0042,76.2258,1,,,
20,,,11.2953,-27.276,76.7453,1,,,
21,,,11.3183,-28.5952,77.2218,1,,,
22,,,11.3582,-29.9945,77.6336,1,,,
23,,,11.3644,-31.4183,78.0009,1,,,
24,,,11.3513,-32.398,78.2321,1,,,
25,,,11.3737,-33.4032,78.4507,1,,,
26,,,11.4017,-34.4253,78.6526,1,,,
27,,,11.433,-35.4582,78.8207,1,,,
28,,,11.4557,-36.4865,78.9863,1,,,
29,,,11.4033,-37.5645,79.1238,1,,,
30,,,11.3993,-38.6564,79.2429,1,,,
31,,,11.4127,-39.7224,79.4258,1,,,
32,,,11.401,-40.7922,79.5428,1,,,
33,,,11.3448,-41.9166,79.6112,1,,,
34,,,11.347,-43.016,79.7076,1,,,
35,,,11.3542,-44.1001,79.8274,1,,,
36,,,11.3296,-45.2082,79.9115,1,,,
37,,,11.3029,-46.3351,79.9883,1,,,
38,,,11.293,-47.4859,80.088,1,,,
39,,,11.2876,-48.651,80.1521,1,,,
40,,,11.2611,-49.8427,80.2314,1,,,
41,,,11.2272,-51.0602,80.283,1,,,
42,,,11.2095,-52.2506,80.3495,1,,,
43,,,11.1987,-53.4644,80.4008,1,,,
44,,,11.1815,-54.7376,80.4428,1,,,
45,,,11.1791,-56.0069,80.5148,1,,,
46,,,11.1501,-57.2517,80.5823,1,,,
47,,,11.1247,-58.5039,80.6552,1,,,
48,,,11.0968,-59.7876,80.7225,1,,,
49,,,11.0949,-61.0851,80.7757,1,,,
50,,,11.0824,-62.3572,80.8535,1,,,
51,,,11.069,-63.6191,80.9121,1,,,
52,,,11.0518,-64.8921,80.9515,1,,,
53,,,11.0407,-66.1589,81.0233,1,,,
54,,,11.0457,-67.4407,81.0727,1,,,
55,,,11.0245,-68.7279,81.1224,1,,,
56,,,10.9898,-69.9591,81.1557,1,,,
57,,,10.9926,-71.182,81.2015,1,,,
58,,,11.003,-72.4563,81.2502,1,,,
59,,,10.9631,-73.7263,81.2779,1,,,
60,,,10.9676,-74.9958,81.3248,1,,,
61,,,10.9488,-76.2375,81.3612,1,,,
62,,,10.9276,-77.4871,81.4095,1,,,
63,,,10.9118,-78.7548,81.4687,1,,,
64,,,10.9136,-80.0089,81.5312,1,,,
65,,,10.91,-81.2567,81.5728,1,,,
66,,,10.9077,-82.5302,81.6173,1,,,
67,,,10.898,-83.8234,81.6772,1,,,
68,,,10.9077,-85.1302,81.7147,1,,,
69,,,10.9087,-86.4506,81.7541,1,,,
70,,,10.8753,-87.7529,81.8036,1,,,
71,,,10.8577,-89.0793,81.8366,1,,,
72,,,10.8835,-90.4115,81.8708,1,,,
73,,,10.8732,-91.738,81.9099,1,,,
74,,,10.8689,-93.0835,81.9532,1,,,
75,,,10.8674,-94.459,81.9883,1,,,
76,,,10.8437,-95.8321,82.0207,1,,,
77,,,10.8597,-97.1871,82.0468,1,,,
78,,,10.8598,-98.576,82.0836,1,,,
79,,,10.8389,-99.964,82.1194,1,,,
80,,,10.842,-101.3377,82.1584,1,,,
81,,,10.8408,-102.7357,82.1878,1,,,
82,,,10.8517,-104.1331,82.218,1,,,
83,,,10.84,-105.5258,82.2429,1,,,
84,,,10.8416,-106.9316,82.2667,1,,,
85,,,10.834,-108.342,82.3102,1,,,
86,,,10.8248,-109.7633,82.3396,1,,,
87,,,10.833,-111.1867,82.3651,1,,,
88,,,10.8221,-112.6279,82.4044,1,,,
89,,,10.8103,-114.0914,82.4317,1,,,
90,,,10.8303,-115.5037,82.4586,1,,,
91,,,10.8394,-116.8776,82.4789,1,,,
92,,,10.8223,-118.2526,82.5041,1,,,
93,,,10.8234,-119.6503,82.5288,1,,,
94,,,10.8312,-121.0397,82.5585,1,,,
95,,,10.8208,-122.4385,82.5864,1,,,
96,,,10.8329,-123.8484,82.6137,1,,,
97,,,10.8369,-125.2173,82.6372,1,,,
98,,,10.8332,-126.6112,82.6611,1,,,
99,,,10.8362,-128.0351,82.6808,1,,,
100,,,10.8286,-129.4362,82.7004,1,,,
101,,,10.8354,-130.867,82.7168,1,,,
102,,,10.8416,-132.3189,82.7483,1,,,
103,,,10.8347,-133.745,82.7707,1,,,
104,,,10.8261,-135.1546,82.787,1,,,
105,,,10.8342,-136.5627,82.8207,1,,,
106,,,10.8461,-137.9716,82.8557,1,,,
107,,,10.8373,-139.3799,82.8854,1,,,
108,,,10.8465,-140.7742,82.9111,1,,,
109,,,10.848,-142.1485,82.9498,1,,,
110,,,10.8706,-143.5247,82.9871,1,,,
111,,,10.8814,-144.9248,83.0252,1,,,
112,,,10.8883,-146.3345,83.0562,1,,,
113,,,10.9164,-147.7173,83.0987,1,,,
114,,,10.8943,-149.0809,83.1473,1,,,
115,,,10.9236,-150.496,83.1936,1,,,
116,,,10.9228,-151.9396,83.2181,1,,,
117,,,10.9298,-153.3509,83.2574,1,,,
118,,,10.936,-154.7521,83.2946,1,,,
119,,,10.9538,-156.1608,83.3237,1,,,
120,,,10.9621,-157.583,83.3405,1,,,
121,,,10.9785,-158.9932,83.3744,1,,,
122,,,11.0039,-160.4193,83.3985,1,,,
123,,,11.0062,-161.8641,83.427,1,,,
124,,,10.9997,-163.3024,83.4579,1,,,
125,,,11.0454,-164.7488,83.4848,1,,,
126,,,11.0504,-166.1828,83.5027,1,,,
127,,,11.0522,-167.6232,83.5368,1,,,
128,,,11.0448,-169.0785,83.568,1,,,
129,,,11.0541,-170.5484,83.5745,1,,,
130,,,11.0888,-172.0131,83.5972,1,,,
131,,,11.0846,-173.4837,83.6341,1,,,
132,,,11.0893,-174.9442,83.6657,1,,,
133,,,11.1161,-176.4122,83.6915,1,,,
134,,,11.1229,-177.8969,83.7217,1,,,
135,,,11.1252,-179.3364,83.7594,1,,,
136,,,11.1288,-180.7818,83.7852,1,,,
137,,,11.15,-182.2639,83.8005,1,,,
138,,,11.1624,-183.7433,83.8213,1,,,
139,,,11.1618,-185.1819,83.8379,1,,,
140,,,11.1774,-186.6563,83.858,1,,,
141,,,11.1973,-188.1445,83.8698,1,,,
142,,,11.2102,-189.6302,83.8841,1,,,
143,,,11.226,-191.094,83.9007,1,,,
144,,,11.221,-192.5906,83.9059,1,,,
145,,,11.2494,-194.0777,83.9224,1,,,
146,,,11.2921,-195.5304,83.9236,1,,,
147,,,11.2727,-196.9843,83.9509,1,,,
148,,,11.2638,-198.4576,83.9548,1,,,
149,,,11.3211,-199.8963,83.9643,1,,,
150,,,11.294,-201.3627,83.9592,1,,,
151,,,11.347,-202.8153,83.9561,1,,,
152,,,11.3433,-204.2171,83.9583,1,,,
153,,,11.3746,-205.6116,83.9393,1,,,
154,,,11.3578,-207.0336,83.924,1,,,
155,,,11.3904,-208.4334,83.9149,1,,,
156,,,11.3703,-209.8137,83.8972,1,,,
157,,,11.3911,-211.1706,83.8564,1,,,
158,,,11.4236,-212.5228,83.8289,1,,,
159,,,11.4293,-213.876,83.7787,1,,,
160,,,11.4442,-215.2304,83.7419,1,,,
161,,,11.4416,-216.5823,83.7049,1,,,
162,,,11.4311,-217.9157,83.6549,1,,,
163,,,11.4577,-219.2149,83.6075,1,,,
164,,,11.4686,-220.4702,83.5569,1,,,
165,,,11.4645,-221.7521,83.486,1,,,
166,,,11.4666,-223.0261,83.4146,1,,,
167,,,11.4659,-224.2839,83.3416,1,,,
168,,,11.4563,-225.5365,83.2527,1,,,
169,,,11.4676,-226.7949,83.1429,1,,,
170,,,11.4798,-228.0421,83.0378,1,,,
171,,,11.4825,-229.2965,82.9345,1,,,
172,,,11.4984,-230.5338,82.8277,1,,,
173,,,11.4838,-231.767,82.7124,1,,,
174,,,11.4848,-232.9949,82.6215,1,,,
175,,,11.4847,-234.2059,82.535,1,,,
176,,,11.4756,-235.4049,82.4483,1,,,
177,,,11.486,-236.5915,82.4043,1,,,
178,,,11.4764,-237.7601,82.3598,1,,,
179,,,11.4602,-238.8991,82.3592,1,,,
180,,,11.4608,-240.002,82.3899,1,,,
181,,,11.4705,-241.0872,82.434,1,,,
182,,,11.4879,-242.1201,82.4759,1,,,
183,,,11.4872,-243.6119,82.5991,1,,,
184,,,11.4925,-245.0952,82.8079,1,,,
185,,,11.5032,-246.5551,83.0826,1,,,
186,,,11.5204,-247.5358,83.3252,1,,,
187,,,11.5518,-248.9274,83.7738,1,,,
188,,,11.5926,-250.275,84.2741,1,,,
189,,,11.6562,-251.559,84.897,1,,,
190,,,11.7134,-252.7103,85.6076,1,,,
191,,,11.7679,-253.7655,86.3909,1,,,
192,,,11.8359,-254.7508,87.2644,1,,,
193,,,11.9232,-255.653,88.2892,1,,,
194,,,12.0193,-256.4752,89.4557,1,,,
195,,,12.1333,-257.1487,90.6111,1,,,
196,,,12.2208,-257.5623,91.7306,1,,,
197,,,12.289,-257.848,92.9397,1,,,
198,,,12.3946,-258.0063,94.1628,1,,,
199,,,12.4846,-257.995,95.3901,1,,,
200,,,12.5906,-257.8488,96.667,1,,,
