PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE
1,,,-2.06,-4.2103,-11.6638,1,,,
2,,,-1.9188,-4.3525,-10.599,1,,,
3,,,-1.7405,-4.4067,-9.5291,1,,,
4,,,-1.5052,-4.3884,-8.3765,1,,,
5,,,-1.3495,-4.2877,-7.2492,1,,,
6,,,-1.161,-4.102,-6.0332,1,,,
7,,,-0.9391,-3.7913,-4.7315,1,,,
8,,,-0.7367,-3.5079,-3.7461,1,,,
9,,,-0.5485,-3.2038,-2.7406,1,,,
10,,,-0.3644,-2.8633,-1.6867,1,,,
11,,,-0.1672,-2.5105,-0.6446,1,,,
12,,,0.0223,-2.1754,0.4473,1,,,
13,,,0.1825,-1.8465,1.6173,1,,,
14,,,0.3617,-1.534,2.8556,1,,,
15,,,0.5625,-1.2382,4.1334,1,,,
16,,,0.815,-0.9873,5.4932,1,,,
17,,,1.0127,-0.7772,6.9243,1,,,
18,,,1.2126,-0.6163,8.4027,1,,,
19,,,1.3843,-0.5347,9.432,1,,,
20,,,1.5369,-0.4554,10.4776,1,,,
21,,,1.6902,-0.4016,11.5418,1,,,
22,,,1.841,-0.3788,12.6044,1,,,
23,,,1.9998,-0.3593,13.6838,1,,,
24,,,2.1521,-0.3289,14.794,1,,,
25,,,2.3098,-0.3127,15.9041,1,,,
26,,,2.4797,-0.3156,17.0348,1,,,
27,,,2.6236,-0.3155,18.1702,1,,,
28,,,2.7847,-0.327,19.3132,1,,,
29,,,2.9494,-0.3401,20.4608,1,,,
30,,,3.1226,-0.3537,21.631,1,,,
31,,,3.2692,-0.3611,22.8104,1,,,
32,,,3.4362,-0.3908,23.9766,1,,,
33,,,3.5829,-0.4144,25.1432,1,,,
34,,,3.7325,-0.4376,26.342,1,,,
35,,,3.8966,-0.471,27.5441,1,,,
36,,,4.0614,-0.4975,28.735,1,,,
37,,,4.2156,-0.5391,29.9563,1,,,
38,,,4.3759,-0.5772,31.1618,1,,,
39,,,4.5445,-0.6124,32.3709,1,,,
40,,,4.7003,-0.6482,33.6413,1,,,
41,,,4.8617,-0.6615,34.9339,1,,,
42,,,5.0103,-0.6942,36.1956,1,,,
43,,,5.1863,-0.7071,37.4793,1,,,
44,,,5.3381,-0.7085,38.7979,1,,,
45,,,5.4982,-0.7203,40.14,1,,,
46,,,5.6698,-0.7228,41.4587,1,,,
47,,,5.827,-0.7289,42.8214,1,,,
48,,,6.008,-0.7207,44.2223,1,,,
49,,,6.1776,-0.7285,45.6266,1,,,
50,,,6.331,-0.7234,46.9552,1,,,
51,,,6.4975,-0.7153,48.2576,1,,,
52,,,6.6594,-0.7192,49.5667,1,,,
53,,,6.8158,-0.7148,50.9257,1,,,
54,,,6.9898,-0.7252,52.2813,1,,,
55,,,7.1689,-0.7315,53.6031,1,,,
56,,,7.3402,-0.7232,54.9243,1,,,
57,,,7.5131,-0.7248,56.268,1,,,
58,,,7.6682,-0.7281,57.624,1,,,
59,,,7.8247,-0.7445,58.9842,1,,,
60,,,8.0058,-0.7548,60.3204,1,,,
61,,,8.177,-0.7699,61.6402,1,,,
62,,,8.3436,-0.7825,62.9682,1,,,
63,,,8.501,-0.7858,64.32,1,,,
