ID,LID,TLID,SignID,LinkID
1,1,0,0,1415
2,2,0,0,468
3,3,0,0,28
4,4,0,0,167
5,5,0,0,347
6,6,0,0,0
7,7,0,0,0
8,8,0,0,0
