PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
23,33.0000154,129.3009828,41.911,4.738,255.106,1,4929,44,0
24,33.0000205,129.3009725,41.664,6.308,252.436,1,4929,44,0
25,33.000024,129.3009668,41.465,7.395,250.943,1,4929,44,0
26,33.0000295,129.3009597,41.249,9.089,249.107,1,4929,44,0
27,0,0,41.005,9.9624,248.0936,1,0,0,0
28,0,0,40.8005,10.6011,247.2607,1,0,0,0
29,0,0,40.5523,11.3444,246.2769,1,0,0,0
30,0,0,40.2695,12.1073,245.1534,1,0,0,0
31,0,0,40.0519,12.7132,244.2271,1,0,0,0
32,0,0,39.8215,13.2484,243.1991,1,0,0,0
33,0,0,39.6055,13.7695,242.0925,1,0,0,0
34,0,0,39.3453,14.2376,240.9615,1,0,0,0
35,0,0,39.0777,14.6761,239.7455,1,0,0,0
36,0,0,38.8392,15.0015,238.4911,1,0,0,0
37,0,0,38.5724,15.2477,237.1784,1,0,0,0
38,0,0,38.3451,15.4089,235.8679,1,0,0,0
39,0,0,38.0835,15.4719,234.533,1,0,0,0
40,0,0,37.8394,15.4297,233.1979,1,0,0,0
41,0,0,37.6188,15.286,231.8573,1,0,0,0
42,0,0,37.3879,15.0157,230.4984,1,0,0,0
43,0,0,37.178,14.6747,229.1734,1,0,0,0
44,0,0,36.9484,14.1947,227.8875,1,0,0,0
45,0,0,36.7525,13.5889,226.5457,1,0,0,0
46,0,0,36.5768,12.8938,225.2508,1,0,0,0
47,0,0,36.4187,12.3196,224.3578,1,0,0,0
48,0,0,36.2811,11.7403,223.4657,1,0,0,0
49,0,0,36.1575,11.143,222.6302,1,0,0,0
50,0,0,38.135,27.304,240.496,1,0,0,0
51,0,0,35.9681,9.8906,221.0008,1,0,0,0
52,0,0,35.8811,9.2156,220.1701,1,0,0,0
53,0,0,35.7776,8.5299,219.3495,1,0,0,0
54,0,0,35.6612,7.8226,218.5031,1,0,0,0
55,0,0,35.5514,7.1123,217.6731,1,0,0,0
56,0,0,35.473,6.4066,216.8596,1,0,0,0
57,0,0,35.3903,5.6851,216.0414,1,0,0,0
58,0,0,35.2894,4.9636,215.1697,1,0,0,0
59,0,0,35.1829,4.241,214.3147,1,0,0,0
60,0,0,35.0736,3.5176,213.451,1,0,0,0
61,0,0,34.9444,2.7948,212.5633,1,0,0,0
62,0,0,34.8382,2.0843,211.6603,1,0,0,0
63,0,0,34.7288,1.3883,210.7763,1,0,0,0
64,0,0,34.6047,0.7031,209.8422,1,0,0,0
65,0,0,34.4945,0.0151,208.9023,1,0,0,0
66,0,0,34.3642,-0.6373,207.9623,1,0,0,0
67,0,0,34.2277,-1.2861,206.9972,1,0,0,0
68,0,0,34.1013,-1.9304,206.0081,1,0,0,0
69,0,0,33.9353,-2.5757,204.9675,1,0,0,0
70,0,0,33.7927,-3.1911,203.9284,1,0,0,0
71,0,0,33.6485,-3.7899,202.8915,1,0,0,0
72,0,0,33.4919,-4.3571,201.8063,1,0,0,0
73,0,0,33.3343,-4.9146,200.7104,1,0,0,0
74,0,0,33.1604,-5.4399,199.596,1,0,0,0
75,0,0,33.0017,-5.9657,198.4552,1,0,0,0
76,0,0,32.825,-6.4788,197.2735,1,0,0,0
77,0,0,32.6492,-6.9628,196.0669,1,0,0,0
78,0,0,32.4626,-7.4194,194.8449,1,0,0,0
79,0,0,32.2716,-7.8162,193.5983,1,0,0,0
80,0,0,32.0753,-8.1811,192.351,1,0,0,0
81,0,0,31.8707,-8.5204,191.1082,1,0,0,0
82,0,0,31.6683,-8.8224,189.8355,1,0,0,0
83,0,0,31.4673,-9.0918,188.5836,1,0,0,0
84,0,0,31.2772,-9.3355,187.3155,1,0,0,0
85,0,0,31.0476,-9.5699,185.9686,1,0,0,0
86,0,0,30.7968,-9.7661,184.6057,1,0,0,0
87,0,0,30.58,-9.9245,183.3001,1,0,0,0
88,0,0,30.3914,-10.0366,182.0072,1,0,0,0
89,0,0,30.1201,-10.1369,180.6714,1,0,0,0
90,0,0,29.9051,-10.2168,179.3359,1,0,0,0
91,0,0,29.6714,-10.2838,177.9722,1,0,0,0
92,0,0,29.4252,-10.316,176.5991,1,0,0,0
93,0,0,29.1556,-10.3355,175.2298,1,0,0,0
94,0,0,28.9294,-10.3448,173.891,1,0,0,0
95,0,0,28.6957,-10.3377,172.5209,1,0,0,0
96,0,0,28.4432,-10.3124,171.1357,1,0,0,0
97,0,0,28.2006,-10.2902,169.7649,1,0,0,0
98,0,0,27.9695,-10.2259,168.3721,1,0,0,0
99,0,0,27.7087,-10.138,166.9996,1,0,0,0
100,0,0,27.4382,-10.0397,165.6407,1,0,0,0
101,0,0,27.2256,-9.9547,164.2697,1,0,0,0
102,0,0,26.9644,-9.8375,162.9062,1,0,0,0
103,0,0,26.7274,-9.7291,161.5348,1,0,0,0
104,0,0,26.4576,-9.6192,160.1575,1,0,0,0
105,0,0,26.195,-9.4906,158.7833,1,0,0,0
106,0,0,25.948,-9.3623,157.4035,1,0,0,0
107,0,0,25.6741,-9.2434,155.9968,1,0,0,0
108,0,0,25.4234,-9.1197,154.6095,1,0,0,0
109,0,0,25.1808,-8.9901,153.2211,1,0,0,0
110,0,0,24.9345,-8.8738,151.802,1,0,0,0
111,0,0,24.664,-8.7497,150.3798,1,0,0,0
112,0,0,24.4024,-8.6285,148.9704,1,0,0,0
113,0,0,24.1328,-8.503,147.5982,1,0,0,0
114,0,0,23.8891,-8.3624,146.2294,1,0,0,0
115,0,0,23.6554,-8.2317,144.8394,1,0,0,0
116,0,0,23.384,-8.1058,143.4267,1,0,0,0
117,0,0,23.132,-7.9944,141.9962,1,0,0,0
118,0,0,22.9011,-7.8826,140.6115,1,0,0,0
119,0,0,22.6645,-7.778,139.274,1,0,0,0
120,0,0,22.4064,-7.6636,137.8973,1,0,0,0
121,0,0,22.137,-7.5501,136.5165,1,0,0,0
122,0,0,21.8731,-7.4338,135.1316,1,0,0,0
123,0,0,21.6307,-7.317,133.774,1,0,0,0
124,0,0,21.3915,-7.1924,132.3955,1,0,0,0
125,0,0,21.1489,-7.0785,131.016,1,0,0,0
126,0,0,20.8761,-6.9401,129.6333,1,0,0,0
127,0,0,20.6224,-6.8247,128.2353,1,0,0,0
128,0,0,20.3588,-6.715,126.8735,1,0,0,0
129,0,0,20.1204,-6.5872,125.5261,1,0,0,0
130,0,0,19.865,-6.4721,124.1741,1,0,0,0
131,0,0,19.6344,-6.3581,122.8253,1,0,0,0
132,0,0,19.3929,-6.2305,121.4863,1,0,0,0
