LID,BPID,FPID,BLID,FLID
1,1464,1465,0,0
2,1466,1467,0,0
3,1468,1469,0,0
4,1470,1471,0,0
5,1472,1473,0,0
6,1474,1475,0,0
7,1476,1477,0,0
