PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
51,0,0,6.4975,-0.7153,48.2576,1,0,0,0
52,0,0,6.6594,-0.7192,49.5667,1,0,0,0
53,0,0,6.8158,-0.7148,50.9257,1,0,0,0
54,0,0,6.9898,-0.7252,52.2813,1,0,0,0
55,0,0,7.1689,-0.7315,53.6031,1,0,0,0
56,0,0,7.3402,-0.7232,54.9243,1,0,0,0
57,0,0,7.5131,-0.7248,56.268,1,0,0,0
58,0,0,7.6682,-0.7281,57.624,1,0,0,0
59,0,0,7.8247,-0.7445,58.9842,1,0,0,0
60,0,0,8.0058,-0.7548,60.3204,1,0,0,0
61,0,0,8.177,-0.7699,61.6402,1,0,0,0
62,0,0,8.3436,-0.7825,62.9682,1,0,0,0
63,0,0,8.501,-0.7858,64.32,1,0,0,0
64,0,0,8.6754,-0.7915,65.6529,1,0,0,0
65,0,0,8.8434,-0.8088,66.9883,1,0,0,0
66,0,0,9.0263,-0.8109,68.3051,1,0,0,0
67,0,0,9.2054,-0.8145,69.6161,1,0,0,0
68,0,0,9.3807,-0.8288,70.9448,1,0,0,0
69,0,0,9.5341,-0.8508,72.2641,1,0,0,0
70,0,0,9.7007,-0.8585,73.5925,1,0,0,0
71,0,0,9.8806,-0.8815,74.9263,1,0,0,0
72,0,0,10.0661,-0.8965,76.2378,1,0,0,0
73,0,0,10.2269,-0.9123,77.5498,1,0,0,0
74,0,0,10.3862,-0.9249,78.8803,1,0,0,0
75,0,0,10.5584,-0.9483,80.2107,1,0,0,0
76,0,0,10.7196,-0.9787,81.5282,1,0,0,0
77,0,0,10.9019,-0.9984,82.844,1,0,0,0
78,0,0,11.0789,-1.0208,84.1509,1,0,0,0
79,0,0,11.2454,-1.0496,85.493,1,0,0,0
80,0,0,11.4081,-1.0797,86.8158,1,0,0,0
81,0,0,11.5798,-1.1155,88.1272,1,0,0,0
82,0,0,11.7502,-1.1355,89.4469,1,0,0,0
83,0,0,11.9071,-1.1583,90.7701,1,0,0,0
104,0,0,15.2304,-0.1148,116.3306,1,0,0,0
114,0,0,16.5657,1.6264,127.3408,1,0,0,0
115,0,0,16.7176,1.5122,128.5781,1,0,0,0
116,0,0,16.8518,1.3217,129.6386,1,0,0,0
117,0,0,16.9798,0.9689,130.8078,1,0,0,0
118,0,0,17.0664,0.458,131.9639,1,0,0,0
119,0,0,17.1687,-0.2065,133.1019,1,0,0,0
120,0,0,17.3163,-0.9702,134.1785,1,0,0,0
121,0,0,17.4038,-1.6336,134.9268,1,0,0,0
122,0,0,17.491,-2.4089,135.6262,1,0,0,0
123,0,0,17.5902,-3.2535,136.3262,1,0,0,0
124,0,0,17.6493,-4.1909,136.9806,1,0,0,0
125,0,0,17.7142,-5.1643,137.5912,1,0,0,0
126,0,0,17.7414,-6.2348,138.1647,1,0,0,0
127,0,0,17.7955,-7.3537,138.7389,1,0,0,0
128,0,0,17.8314,-8.5404,139.3286,1,0,0,0
129,0,0,17.8604,-9.7637,139.9258,1,0,0,0
130,0,0,17.917,-11.0245,140.4935,1,0,0,0
131,0,0,17.9608,-12.312,141.0955,1,0,0,0
132,0,0,17.9849,-13.6123,141.7133,1,0,0,0
133,0,0,18.0307,-14.9607,142.3073,1,0,0,0
134,0,0,18.0804,-16.3111,142.9068,1,0,0,0
135,0,0,18.0843,-17.2297,143.3057,1,0,0,0
136,0,0,18.0946,-18.15,143.7053,1,0,0,0
137,0,0,18.1307,-19.0754,144.1024,1,0,0,0
138,0,0,18.1667,-20.0335,144.4864,1,0,0,0
139,0,0,18.1775,-20.9985,144.8828,1,0,0,0
140,0,0,18.1877,-21.9639,145.2849,1,0,0,0
141,0,0,18.184,-22.9518,145.6831,1,0,0,0
142,0,0,18.2063,-23.9447,146.0874,1,0,0,0
143,0,0,18.2134,-24.9456,146.475,1,0,0,0
144,0,0,18.233,-25.9662,146.812,1,0,0,0
145,0,0,18.2337,-26.9946,147.142,1,0,0,0
146,0,0,18.2471,-28.0483,147.4903,1,0,0,0
147,0,0,18.2633,-29.0966,147.8065,1,0,0,0
148,0,0,18.2593,-30.1646,148.1163,1,0,0,0
149,0,0,18.2561,-31.2281,148.407,1,0,0,0
150,0,0,18.2462,-32.2985,148.6887,1,0,0,0
151,0,0,18.2376,-33.3765,148.9668,1,0,0,0
152,0,0,18.2265,-34.4605,149.2319,1,0,0,0
153,0,0,18.2373,-35.5475,149.4784,1,0,0,0
154,0,0,18.2341,-36.6403,149.7086,1,0,0,0
155,0,0,18.2076,-37.7604,149.9277,1,0,0,0
156,0,0,18.1961,-38.8583,150.1209,1,0,0,0
157,0,0,18.1862,-39.9451,150.3188,1,0,0,0
158,0,0,18.1636,-41.0487,150.5071,1,0,0,0
159,0,0,18.1415,-42.1572,150.6625,1,0,0,0
160,0,0,18.1144,-43.2668,150.8291,1,0,0,0
161,0,0,18.1141,-44.3752,150.9775,1,0,0,0
162,0,0,18.0991,-45.5,151.0902,1,0,0,0
163,0,0,18.0727,-46.6437,151.1922,1,0,0,0
164,0,0,18.054,-47.7873,151.2835,1,0,0,0
165,0,0,18.0512,-48.9307,151.3606,1,0,0,0
166,0,0,18.0409,-50.0632,151.411,1,0,0,0
167,0,0,18.0274,-51.1785,151.4429,1,0,0,0
168,0,0,18.0075,-52.304,151.4377,1,0,0,0
169,0,0,17.9935,-53.4411,151.4354,1,0,0,0
170,0,0,18.0314,-54.5498,151.4341,1,0,0,0
171,0,0,18.0349,-55.6562,151.4157,1,0,0,0
172,0,0,17.9971,-56.7937,151.3848,1,0,0,0
173,0,0,17.9848,-57.9192,151.3736,1,0,0,0
174,0,0,17.9941,-58.9738,151.3754,1,0,0,0
175,0,0,17.9897,-59.9961,151.3496,1,0,0,0
176,0,0,17.9837,-61.011,151.3064,1,0,0,0
177,0,0,17.979,-62.4685,151.2656,1,0,0,0
178,0,0,17.9694,-63.8559,151.2019,1,0,0,0
179,0,0,17.9674,-65.2467,151.106,1,0,0,0
180,0,0,17.9535,-66.5943,151.0087,1,0,0,0
181,0,0,17.9372,-67.8404,150.8752,1,0,0,0
182,0,0,17.9099,-68.9933,150.6991,1,0,0,0
183,0,0,17.8783,-70.0618,150.496,1,0,0,0
184,0,0,17.8669,-71.3346,150.1763,1,0,0,0
185,0,0,17.8167,-72.5181,149.8143,1,0,0,0
186,0,0,17.7782,-73.6646,149.3894,1,0,0,0
187,0,0,17.7343,-74.7165,148.9255,1,0,0,0
