PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,22.0576,567.5412,62.7382,1,0,0,0
2,0,0,22.2266,567.4388,63.7503,1,0,0,0
3,0,0,22.4227,567.3725,64.8904,1,0,0,0
4,0,0,22.6617,567.3096,65.9667,1,0,0,0
5,0,0,22.8479,567.2656,67.0614,1,0,0,0
6,0,0,23.0885,567.2666,68.3183,1,0,0,0
7,0,0,23.2884,567.283,69.4062,1,0,0,0
8,0,0,23.555,567.3011,70.5761,1,0,0,0
9,0,0,23.7681,567.2815,71.822,1,0,0,0
10,0,0,23.9896,567.261,72.9937,1,0,0,0
11,0,0,24.2286,567.2763,74.0877,1,0,0,0
12,0,0,24.436,567.2601,75.1781,1,0,0,0
13,0,0,24.6185,567.2438,76.182,1,0,0,0
14,0,0,24.8467,567.2255,77.3424,1,0,0,0
15,0,0,25.0477,567.1725,78.3801,1,0,0,0
16,0,0,25.2184,567.1486,79.3895,1,0,0,0
17,0,0,25.4082,567.1082,80.4689,1,0,0,0
18,0,0,25.6341,567.0478,81.564,1,0,0,0
19,33.0018408,129.3003186,25.852,567.033,82.704,1,4929,44,0
20,0,0,26.0323,567.0627,83.7191,1,0,0,0
21,0,0,26.2714,567.114,84.9437,1,0,0,0
22,0,0,26.4502,567.254,85.9989,1,0,0,0
23,0,0,26.7046,567.4667,87.1257,1,0,0,0
24,0,0,26.9478,567.7584,88.3949,1,0,0,0
25,0,0,27.146,568.111,89.3505,1,0,0,0
26,0,0,27.334,568.5081,90.3593,1,0,0,0
27,0,0,27.5559,569.0123,91.3299,1,0,0,0
28,0,0,27.7758,569.6356,92.3016,1,0,0,0
29,0,0,27.9892,570.3793,93.21,1,0,0,0
30,0,0,28.2048,571.2371,94.1407,1,0,0,0
31,0,0,28.3798,572.2117,94.9543,1,0,0,0
32,0,0,28.6113,573.3154,95.6882,1,0,0,0
33,0,0,28.835,574.5388,96.2904,1,0,0,0
34,0,0,29.0684,575.8577,96.7371,1,0,0,0
186,0,0,45.1471,790.2523,106.1704,1,0,0,0
240,0,0,51.819,857.284,113.64,1,0,0,0
241,0,0,51.951,858.682,113.757,1,0,0,0
242,0,0,52.0549,859.6848,113.8417,1,0,0,0
243,0,0,52.1483,860.7426,113.8943,1,0,0,0
244,0,0,52.2592,861.833,113.9437,1,0,0,0
245,0,0,52.3614,862.9526,113.9813,1,0,0,0
246,0,0,52.4791,864.106,114.0129,1,0,0,0
247,0,0,52.5858,865.2886,114.075,1,0,0,0
248,0,0,52.6854,866.4902,114.1258,1,0,0,0
249,0,0,52.7788,867.7095,114.1831,1,0,0,0
250,0,0,52.8628,868.9586,114.2417,1,0,0,0
251,0,0,52.9495,870.2245,114.272,1,0,0,0
252,0,0,53.0167,871.5209,114.318,1,0,0,0
253,0,0,53.1104,872.8588,114.3645,1,0,0,0
254,0,0,53.1762,874.2034,114.4329,1,0,0,0
255,0,0,53.2792,875.5051,114.4776,1,0,0,0
256,0,0,53.3608,876.8173,114.5243,1,0,0,0
257,0,0,53.4811,878.1305,114.5506,1,0,0,0
258,0,0,53.5913,879.4222,114.5783,1,0,0,0
259,0,0,53.7083,880.7447,114.635,1,0,0,0
260,0,0,53.8303,882.0731,114.6801,1,0,0,0
261,0,0,53.9323,883.4017,114.7191,1,0,0,0
262,0,0,54.0457,884.7291,114.7398,1,0,0,0
263,0,0,54.1568,886.0436,114.7666,1,0,0,0
264,0,0,54.2722,887.3484,114.8199,1,0,0,0
265,0,0,53.897,885.158,114.189,1,0,0,0
266,0,0,54.5367,889.9584,114.8977,1,0,0,0
267,0,0,54.6345,891.2869,114.9549,1,0,0,0
268,0,0,54.751,892.649,115.0163,1,0,0,0
269,0,0,54.8672,894.0114,115.0678,1,0,0,0
270,0,0,54.9948,895.3699,115.1274,1,0,0,0
271,0,0,55.1181,896.7586,115.1915,1,0,0,0
272,0,0,55.2287,898.1427,115.2577,1,0,0,0
273,0,0,55.3671,899.52,115.3168,1,0,0,0
274,0,0,55.4968,900.8818,115.3673,1,0,0,0
275,0,0,55.615,902.2497,115.4226,1,0,0,0
276,0,0,55.7298,903.6232,115.4736,1,0,0,0
277,0,0,55.8465,905.0073,115.5319,1,0,0,0
278,0,0,55.9772,906.3817,115.5872,1,0,0,0
279,0,0,56.1112,907.7421,115.6428,1,0,0,0
280,0,0,56.2095,909.0733,115.6981,1,0,0,0
281,0,0,56.3492,910.3875,115.7478,1,0,0,0
282,0,0,56.4818,911.7161,115.7885,1,0,0,0
283,0,0,56.5735,913.0547,115.8442,1,0,0,0
284,0,0,56.6825,914.3542,115.9093,1,0,0,0
285,0,0,56.7965,915.6242,115.9635,1,0,0,0
286,0,0,56.9274,916.9122,116.0071,1,0,0,0
287,0,0,57.0403,918.2094,116.057,1,0,0,0
288,0,0,57.1502,919.4719,116.1103,1,0,0,0
289,0,0,57.266,920.7405,116.1387,1,0,0,0
290,0,0,57.4164,922.027,116.1699,1,0,0,0
291,0,0,57.5207,923.2971,116.2127,1,0,0,0
292,0,0,57.6296,924.5618,116.2479,1,0,0,0
293,0,0,57.7305,925.8251,116.287,1,0,0,0
294,0,0,57.8549,927.0735,116.3231,1,0,0,0
295,0,0,57.9739,928.3378,116.3529,1,0,0,0
296,0,0,58.0713,929.5778,116.3903,1,0,0,0
297,0,0,58.1614,930.7924,116.4359,1,0,0,0
298,0,0,58.2654,931.9836,116.4637,1,0,0,0
299,0,0,58.3631,933.1927,116.4898,1,0,0,0
300,0,0,58.481,934.4087,116.5324,1,0,0,0
301,0,0,58.5685,935.6154,116.573,1,0,0,0
302,0,0,58.6679,936.8282,116.6099,1,0,0,0
