ID,LID,TLID,SignID,LinkID
1,1,0,0,2150
2,2,0,0,1005
3,3,0,0,2299
4,4,0,0,2218
5,5,0,0,2692
6,6,0,0,1221
7,7,0,0,2568
8,8,0,0,2629
