LID,BPID,FPID,BLID,FLID
1,2700,2701,0,0
2,2702,2703,0,0
3,2704,2705,0,0
4,2706,2707,0,0
5,2708,2709,0,0
6,2710,2711,0,0
7,2712,2713,0,0
8,2714,2715,0,0
