x,y,z,yaw,velocity,change_flag
256.7686,73.5501,36.1503,-1.3149,0,0
256.9313,72.5043,36.2875,-1.4120,4.3310,0
257.0222,71.3637,36.4069,-1.4122,5.6431,0
257.1064,70.2409,36.5275,-1.3683,7.0771,0
257.2560,69.2269,36.6827,-1.2998,7.6887,0
257.5270,68.1931,36.8009,-1.2119,7.6240,0
257.9377,67.0707,37.0459,-1.0974,7.2130,0
258.4369,66.0805,37.2812,-0.9940,6.0062,0
259.0061,65.2120,37.4877,-0.9168,4.9648,0
259.6466,64.3216,37.7459,-0.8666,4.0076,0
260.2637,63.5219,37.9898,-0.8439,2.0538,0
260.9383,62.6545,38.2382,-0.8537,4.3329,0
261.5730,61.8271,38.4676,-0.8902,6.1045,0
262.1920,60.9469,38.6949,-0.9540,7.1922,0
262.7362,60.0528,38.8962,-1.0365,8.0078,0
263.2558,59.0228,39.0942,-1.1409,8.8615,0
263.6782,57.9118,39.2907,-1.2646,8.7589,0
263.9351,56.8898,39.4373,-1.3748,10.0782,0
264.0345,55.7722,39.5876,-1.4793,10.1999,0
264.0451,54.6340,39.7007,-1.5854,10.6212,0
263.9501,53.4422,39.7761,-1.6954,10.8430,0
263.6622,52.1687,39.8357,-1.8089,12.0583,0
263.3371,51.1402,39.8634,-1.8925,13.4075,0
262.8655,50.0836,39.8573,-1.9763,13.7070,0
262.3439,49.1270,39.8750,-2.0537,12.7821,0
261.7191,48.1573,39.8483,-2.1250,14.2938,0
260.9346,47.1429,39.7946,-2.1887,15.5564,0
260.1422,46.2163,39.7382,-2.2428,13.8398,0
259.3116,45.3676,39.6944,-2.2851,14.4989,0
258.4695,44.5326,39.6449,-2.3158,13.8091,0
257.6246,43.7294,39.5883,-2.3338,13.7498,0
256.7934,42.9494,39.5288,-2.3422,13.4950,0
255.9875,42.2086,39.4669,-2.3427,12.7791,0
255.2077,41.4944,39.4020,-2.3382,12.5070,0
254.4459,40.7995,39.3439,-2.3345,11.9564,0
253.5315,39.9458,39.2631,-2.3293,10.9233,0
252.7076,39.1625,39.2015,-2.3249,9.6116,0
251.9434,38.4398,39.1372,-2.3215,9.0609,0
251.1056,37.6434,39.0703,-2.3178,7.8209,0
250.2490,36.8304,38.9871,-2.3135,6.7577,0
249.4872,36.0722,38.9114,-2.3105,6.0783,0
248.6978,35.3194,38.8636,-2.3092,5.0582,0
247.9256,34.5614,38.7950,-2.3084,3.8533,0
247.1776,33.8337,38.7208,-2.3074,3.9934,0
246.3372,33.0286,38.6442,-2.3068,6.1532,0
245.5822,32.2892,38.5871,-2.3054,8.2327,0
244.6830,31.4216,38.5016,-2.2956,9.4674,0
243.9091,30.6374,38.4335,-2.2750,9.9735,0
243.0959,29.7746,38.3634,-2.2360,11.1081,0
242.2846,28.8021,38.3099,-2.1780,11.4776,0
241.4946,27.7461,38.2918,-2.1097,12.0426,0
240.9404,26.8857,38.2565,-2.0517,12.1746,0
240.4287,25.9650,38.2606,-1.9898,12.6784,0
239.9401,24.9945,38.2623,-1.9254,12.9094,0
239.5351,23.9785,38.2657,-1.8597,13.1352,0
239.1551,22.9333,38.2982,-1.7946,13.0020,0
238.9088,21.8573,38.3463,-1.7251,13.2399,0
238.7211,20.7532,38.3942,-1.6570,13.4759,0
238.5817,19.6586,38.4787,-1.5893,12.9749,0
238.5303,18.5477,38.5711,-1.5204,13.6878,0
238.5625,17.4363,38.6788,-1.4519,13.3357,0
238.6861,16.3294,38.7799,-1.3828,13.3091,0
238.8454,15.2482,38.9138,-1.3147,12.9240,0
239.0850,14.1604,39.0380,-1.2479,13.6545,0
239.4008,13.0946,39.1735,-1.1793,13.2079,0
239.7850,12.0660,39.3392,-1.1105,13.2694,0
240.2572,11.0533,39.5309,-1.0412,13.2150,0
240.7708,10.0825,39.7048,-0.9701,13.3585,0
241.3961,9.0770,39.9090,-0.8958,14.4942,0
242.1356,8.1479,40.1471,-0.8218,14.2342,0
242.9088,7.2619,40.3633,-0.7542,14.2663,0
243.7685,6.4547,40.5937,-0.7015,14.2402,0
244.6080,5.6547,40.8177,-0.6600,13.5504,0
245.4837,4.8942,41.0438,-0.6256,14.2502,0
246.3750,4.1914,41.2746,-0.5982,13.5824,0
247.2296,3.5464,41.4903,-0.5776,13.0684,0
248.0980,2.9070,41.7407,-0.5617,13.0026,0
248.9716,2.3007,41.9746,-0.5471,12.7863,0
250.0643,1.5597,42.2689,-0.5275,11.9726,0
251.1711,0.8889,42.5518,-0.5071,11.0722,0
252.2666,0.2360,42.8099,-0.4937,11.1304,0
253.3842,-0.3868,43.0987,-0.4801,11.9616,0
254.4934,-1.0366,43.3948,-0.4682,11.9630,0
255.6175,-1.6389,43.7291,-0.4547,11.2152,0
256.5211,-2.1124,43.9203,-0.4472,12.6931,0
