x,y,z,yaw,velocity,change_flag
234.5515,164.5522,29.9263,-0.9771,0,0
235.1099,163.6255,30.0476,-0.9266,3.9732,0
235.7367,162.6774,30.1724,-0.8599,5.9319,0
236.4052,161.7833,30.3043,-0.7787,7.2705,0
237.2069,160.9608,30.4508,-0.6955,8.9368,0
237.9924,160.2744,30.6065,-0.6207,9.7510,0
238.9200,159.5832,30.7869,-0.5528,11.0050,0
240.0080,158.8711,30.9811,-0.5103,11.9507,0
240.8988,158.3482,31.1523,-0.4972,12.8470,0
241.8388,157.7993,31.3218,-0.5030,13.1253,0
242.8187,157.1705,31.5243,-0.5235,14.4349,0
243.8295,156.4899,31.6932,-0.5503,14.8987,0
244.8644,155.7468,31.8873,-0.5852,15.4780,0
245.9184,154.9364,32.1029,-0.6277,16.2163,0
246.9566,154.0605,32.2779,-0.6716,16.2995,0
247.9834,153.1169,32.4698,-0.7078,17.0601,0
249.0159,152.1164,32.6660,-0.7338,17.4137,0
250.0282,151.0687,32.8710,-0.7513,17.6789,0
251.0715,149.9958,33.0548,-0.7669,18.0412,0
252.0826,148.8963,33.2798,-0.7787,17.9843,0
252.7692,148.1470,33.4269,-0.7832,18.4526,0
253.4729,147.3877,33.5485,-0.7853,18.5419,0
254.1544,146.6286,33.6912,-0.7852,18.4127,0
254.8354,145.8683,33.8240,-0.7847,18.3472,0
255.5195,145.1162,33.9698,-0.7847,18.4456,0
256.2173,144.3334,34.1170,-0.7836,18.9805,0
256.9265,143.5518,34.2685,-0.7828,18.9822,0
257.6066,142.7997,34.4114,-0.7822,18.1631,0
258.2897,142.0486,34.5505,-0.7819,18.4075,0
258.9654,141.2945,34.7024,-0.7817,18.1951,0
259.9518,140.1978,34.9169,-0.7811,17.5941,0
260.9098,139.1320,35.1170,-0.7808,16.7848,0
261.8339,138.0923,35.2935,-0.7800,16.6867,0
262.6956,137.1479,35.4774,-0.7797,14.6415,0
263.4497,136.3033,35.6482,-0.7811,13.2618,0
264.1407,135.5320,35.7948,-0.7814,11.7939,0
264.9182,134.6684,35.9673,-0.7813,10.1426,0
265.5968,133.9131,36.1169,-0.7800,8.4045,0
266.3784,133.0398,36.3029,-0.7721,8.7125,0
267.1947,132.1456,36.4649,-0.7467,8.9896,0
267.9282,131.4347,36.6370,-0.7102,9.4617,0
268.7672,130.6561,36.7913,-0.6606,10.6748,0
269.7021,129.8763,37.0066,-0.6000,11.4041,0
270.7575,129.1329,37.2211,-0.5306,11.7713,0
271.8660,128.4277,37.4471,-0.4508,12.3626,0
272.8102,127.9610,37.6167,-0.3850,12.7779,0
273.7789,127.5435,37.8210,-0.3176,12.9251,0
274.7693,127.1753,38.0459,-0.2482,12.7348,0
275.8187,126.8755,38.2361,-0.1742,13.5586,0
276.8917,126.6772,38.4606,-0.1029,12.6223,0
277.9512,126.5363,38.6461,-0.0303,13.2054,0
279.0753,126.4671,38.8265,0.0448,13.4584,0
280.1271,126.4974,39.0148,0.1163,12.4608,0
281.1728,126.5968,39.2199,0.1875,13.0814,0
282.2491,126.7802,39.4363,0.2579,12.8520,0
283.3338,127.0317,39.5584,0.3331,13.5292,0
284.4155,127.3501,39.7357,0.4073,13.3470,0
285.4175,127.7729,39.8635,0.4769,13.2969,0
286.4346,128.2512,40.0152,0.5420,13.5258,0
287.4153,128.8003,40.1414,0.6006,13.5215,0
288.3714,129.4166,40.2827,0.6559,13.8527,0
289.2941,130.1085,40.4171,0.7011,13.8497,0
290.2175,130.8279,40.4942,0.7372,13.8740,0
291.1231,131.5897,40.6044,0.7679,14.3717,0
292.0217,132.3957,40.6999,0.7949,14.2891,0
292.9214,133.2410,40.8031,0.8198,14.8159,0
293.7888,134.1174,40.8829,0.8416,14.8461,0
294.6663,135.0299,40.9487,0.8574,14.9133,0
295.5326,135.9412,41.0266,0.8696,15.0733,0
296.4042,136.8940,41.1050,0.8840,15.3420,0
297.2580,137.8637,41.1646,0.8994,15.4053,0
298.0946,138.8415,41.2492,0.9169,15.2167,0
298.9077,139.8524,41.3118,0.9331,15.7047,0
299.7619,140.8751,41.3525,0.9531,15.7869,0
300.5390,141.9277,41.4194,0.9736,15.8006,0
301.3438,142.9809,41.4641,1.0012,15.9517,0
302.0349,144.0665,41.4915,1.0268,14.9255,0
302.7013,145.0681,41.5379,1.0580,13.6391,0
303.2855,146.0113,41.5594,1.1110,13.3296,0
303.7254,146.9720,41.5483,1.1736,12.1327,0
304.2329,148.1436,41.5631,1.2680,10.5967,0
304.5479,149.1742,41.5425,1.3695,9.0979,0
304.7594,150.1736,41.4913,1.4808,9.2408,0
304.8284,151.1911,41.4263,1.6018,9.1182,0
304.7841,152.1913,41.3268,1.7310,8.8742,0
304.5594,153.3976,41.1897,1.9035,8.7586,0
304.1900,154.4956,40.8740,2.0856,9.0163,0
303.6154,155.3230,40.9596,2.2407,5.6583,0
302.9573,156.1406,40.8290,2.4122,4.0189,0
303.7832,155.5390,40.9959,2.4767,3.0537,0
304.6846,154.8990,41.1801,2.5703,4.1787,0
305.5568,154.3603,41.3520,2.7129,5.1494,0
306.5305,153.9310,41.5996,2.8910,3.8643,0
307.5488,153.7045,41.7879,3.0867,3.1303,0
308.5619,153.6647,41.9377,-2.9835,1.3082,0
307.5026,153.5920,41.7658,-2.9900,4.1696,0
306.3893,153.4705,41.6156,-2.9222,5.7480,0
305.3994,153.3054,41.4921,-2.8077,6.7591,0
304.4349,153.0069,41.3652,-2.6777,7.5283,0
303.4166,152.5009,41.2020,-2.5258,8.4542,0
302.4260,151.7838,41.0856,-2.3651,9.0860,0
301.6614,151.0308,41.0148,-2.2470,9.9930,0
300.9541,150.1277,40.9008,-2.1570,10.2508,0
300.2793,149.1742,40.8859,-2.0944,10.7637,0
299.6533,148.1538,40.8487,-2.0622,10.9229,0
299.0387,147.0825,40.8071,-2.0580,11.0093,0
298.3697,146.0041,40.7640,-2.0739,11.4160,0
297.6895,144.9171,40.7436,-2.0903,11.6092,0
297.1283,144.0693,40.7259,-2.1057,12.3054,0
296.5259,143.2042,40.6898,-2.1218,12.5870,0
295.9132,142.3458,40.6579,-2.1393,12.7576,0
295.2956,141.4849,40.6216,-2.1569,12.3293,0
294.6671,140.6572,40.5894,-2.1754,12.2987,0
294.0270,139.8569,40.5446,-2.1931,12.1734,0
293.2322,138.8818,40.4647,-2.2206,10.8521,0
292.4549,138.0035,40.3807,-2.2466,10.0896,0
291.7401,137.2128,40.3313,-2.2690,9.0649,0
290.9182,136.3451,40.2549,-2.2958,8.3271,0
290.1609,135.5911,40.1869,-2.3206,7.1952,0
289.2885,134.7843,40.0994,-2.3633,7.3123,0
288.4610,134.0486,39.9937,-2.4140,8.2301,0
287.5346,133.3343,39.9014,-2.4768,8.4801,0
286.7025,132.7730,39.7866,-2.5425,9.3119,0
285.7837,132.2360,39.6631,-2.6140,9.5500,0
284.7836,131.7605,39.5473,-2.6906,10.1042,0
283.6956,131.3435,39.3736,-2.7736,10.8155,0
