x,y,z,yaw,velocity,change_flag
273.5493,0.4947,47.0793,2.7362,0,0
272.6061,0.9776,46.8088,2.7886,5.5270,0
271.5725,1.3894,46.5486,2.8568,7.5392,0
270.4138,1.7553,46.3157,2.9319,9.4993,0
269.2968,1.9992,46.0563,3.0004,10.5501,0
268.0732,2.2069,45.8064,3.0673,11.3302,0
266.7889,2.3617,45.5398,3.1105,12.2099,0
265.7661,2.4174,45.2912,3.1197,12.9323,0
264.4336,2.5169,44.9890,3.1133,12.4709,0
263.3795,2.6132,44.7556,3.0999,12.7690,0
262.3189,2.7152,44.5935,3.0769,12.6063,0
261.2759,2.8649,44.3320,3.0399,12.9858,0
260.2393,3.0454,44.0477,2.9915,13.1539,0
259.1744,3.2533,43.8828,2.9412,13.0487,0
258.1671,3.5464,43.6434,2.8913,12.4818,0
257.1665,3.8585,43.4369,2.8404,12.5261,0
256.2013,4.2197,43.2037,2.7895,12.5885,0
255.2871,4.6528,42.9569,2.7415,12.5007,0
254.3586,5.1270,42.7251,2.6945,12.7573,0
253.4872,5.6500,42.4788,2.6545,11.9432,0
252.4611,6.2894,42.2156,2.6054,10.7405,0
251.6132,6.8747,41.9765,2.5606,8.4475,0
250.7212,7.5777,41.7187,2.5125,5.6387,0
249.9058,8.2834,41.4926,2.4586,4.8047,0
249.1964,9.0019,41.3002,2.3954,4.5356,0
248.4826,9.7714,41.0739,2.3167,5.2168,0
247.7828,10.7192,40.8617,2.2207,7.1862,0
247.2061,11.6197,40.6860,2.1338,7.8572,0
246.6832,12.6512,40.5031,2.0441,8.6095,0
246.2027,13.7857,40.3212,1.9491,9.4249,0
245.8814,14.7884,40.1682,1.8731,9.4676,0
245.6307,15.8507,40.0362,1.7923,10.2002,0
245.4384,16.9790,39.9094,1.7121,10.3260,0
245.3461,18.1218,39.8043,1.6365,10.2157,0
245.3193,19.3118,39.7048,1.5671,10.6617,0
245.4052,20.5036,39.6154,1.4990,10.9028,0
245.5436,21.7571,39.5361,1.4286,10.9598,0
245.8014,22.9870,39.4662,1.3581,11.3871,0
246.1330,24.1984,39.4460,1.2868,11.4000,0
246.5825,25.4238,39.3840,1.2096,11.4833,0
246.9725,26.3680,39.3871,1.1483,12.6614,0
247.4770,27.4168,39.4081,1.0816,14.1866,0
248.0879,28.4859,39.4173,1.0134,14.9191,0
248.8453,29.5755,39.4641,0.9526,15.5555,0
249.6606,30.5779,39.4943,0.9051,15.5342,0
250.5679,31.5890,39.5772,0.8637,16.3910,0
251.5889,32.6376,39.6524,0.8284,17.5291,0
252.6384,33.6804,39.7310,0.7994,17.7910,0
253.7353,34.6910,39.8259,0.7871,17.7518,0
254.4735,35.3998,39.8943,0.7802,18.3399,0
255.2239,36.1039,39.9659,0.7763,18.3458,0
255.9815,36.7748,40.0468,0.7769,17.9938,0
256.7301,37.4624,40.0853,0.7794,18.3147,0
257.5006,38.1883,40.1552,0.7827,18.8419,0
258.2512,38.8923,40.2108,0.7872,18.3722,0
259.0208,39.6111,40.2789,0.7933,19.0720,0
259.7908,40.3360,40.3406,0.7989,18.8559,0
260.5611,41.0742,40.4270,0.8062,19.2045,0
261.3251,41.8117,40.4908,0.8145,19.0447,0
262.0803,42.5669,40.5477,0.8220,19.0523,0
262.8186,43.3114,40.6204,0.8282,18.6988,0
263.5296,44.0408,40.6632,0.8308,17.9816,0
264.2290,44.7606,40.7323,0.8317,17.8355,0
265.2382,45.7885,40.8332,0.8377,16.6123,0
266.1551,46.7659,40.9120,0.8483,15.7409,0
267.0091,47.7047,40.9698,0.8722,14.8116,0
267.8149,48.6326,41.0220,0.9113,14.2500,0
268.5215,49.5417,41.0617,0.9731,13.6209,0
269.1953,50.5163,41.0731,1.0459,14.2317,0
269.7954,51.5360,41.0832,1.1300,13.8186,0
270.3075,52.6221,41.0755,1.2300,14.8686,0
270.7194,53.8167,40.9999,1.3387,14.9486,0
271.0219,54.9781,40.9149,1.4508,14.2809,0
271.1476,56.2065,40.8789,1.5662,14.8629,0
271.1744,57.4743,40.7738,1.6843,15.1350,0
271.0549,58.7045,40.5741,1.7991,14.6476,0
270.7985,59.8993,40.4615,1.9062,14.2597,0
270.4070,61.0216,40.3187,2.0024,14.4400,0
269.9651,62.0973,40.1050,2.0836,13.8309,0
269.4043,63.1049,39.9689,2.1521,13.8897,0
268.8241,64.0598,39.7635,2.2061,13.2589,0
268.1849,65.0133,39.5357,2.2589,14.2224,0
267.4984,65.9001,39.3813,2.3145,13.1319,0
266.7898,66.7260,39.1588,2.3752,12.8369,0
266.0887,67.4592,38.8939,2.4462,12.8092,0
265.2949,68.1732,38.6792,2.5264,12.7463,0
264.4681,68.7932,38.4124,2.6188,12.7354,0
263.5761,69.3412,38.1798,2.7298,12.7522,0
262.6610,69.7833,37.9237,2.8537,12.5488,0
261.6794,70.1082,37.6240,2.9862,12.8709,0
260.6790,70.3021,37.3943,3.1195,12.6807,0
259.6641,70.3146,37.1915,-3.0280,12.3142,0
258.6453,70.2638,36.8975,-2.8927,12.7771,0
257.4017,70.0213,36.5263,-2.7284,11.3466,0
256.3984,69.5048,36.3772,-2.5904,9.8801,0
255.4180,68.9556,36.1824,-2.4566,6.7981,0
254.5727,68.2023,36.1819,-2.3419,8.0693,0
253.8845,67.4572,36.0933,-2.2272,0.9648,0
254.6100,68.2669,36.1706,-2.2954,3.2949,0
255.3258,68.9977,36.2185,-2.2691,4.4603,0
255.9876,69.7740,36.3285,-2.1876,4.9656,0
256.6270,70.6790,36.3587,-2.0701,4.8764,0
257.1039,71.6825,36.4601,-1.9238,4.7489,0
257.4732,72.6809,36.4251,-1.7726,4.6847,0
257.7204,73.6755,36.3686,-1.6248,2.4629,0
257.6173,72.6500,36.4475,-1.6310,5.6308,0
257.5107,71.4696,36.5135,-1.5967,7.8461,0
257.4224,70.2114,36.6698,-1.5163,9.8410,0
257.4661,69.0887,36.7570,-1.4168,10.1687,0
257.6002,67.9781,36.8785,-1.2999,9.7401,0
257.8657,66.9695,37.0849,-1.1777,9.2554,0
258.2428,66.0369,37.2487,-1.0601,8.9197,0
258.7431,65.1006,37.4623,-0.9358,7.4276,0
259.3408,64.2605,37.6894,-0.8490,5.5283,0
260.0453,63.4144,37.9657,-0.8154,3.7877,0
260.7065,62.6278,38.2051,-0.8319,2.3909,0
261.3412,61.8539,38.4290,-0.8687,5.6760,0
262.0216,60.9750,38.6674,-0.9311,7.6918,0
262.7007,59.9593,38.8865,-1.0196,9.4910,0
263.2137,58.9794,39.0880,-1.1264,10.5293,0
263.6161,57.8669,39.2465,-1.2465,11.1000,0
263.8794,56.5776,39.4247,-1.3799,12.4322,0
263.9809,55.5349,39.5318,-1.4861,12.8454,0
263.9502,54.4911,39.6759,-1.5973,12.7376,0
263.7701,53.3218,39.7397,-1.7087,14.5245,0
263.4505,52.1303,39.8038,-1.8155,14.7342,0
263.0391,50.9053,39.8272,-1.9152,15.7474,0
262.4460,49.6823,39.8250,-2.0096,16.6223,0
261.6270,48.4634,39.8235,-2.0936,17.4589,0
260.8285,47.2494,39.7753,-2.1545,17.3493,0
259.9095,46.0742,39.7089,-2.2087,17.7204,0
258.9449,44.9735,39.6875,-2.2553,17.4083,0
257.9646,43.8973,39.6208,-2.2905,17.0973,0
256.9296,42.8403,39.5547,-2.3113,17.7806,0
255.9031,41.8206,39.4822,-2.3188,16.9507,0
254.9065,40.8618,39.4205,-2.3233,16.0733,0
253.9124,39.9385,39.3355,-2.3250,16.0617,0
252.9835,39.0616,39.2606,-2.3231,14.9021,0
252.0917,38.1930,39.1856,-2.3224,14.9309,0
251.2219,37.3752,39.1183,-2.3235,13.6918,0
250.4131,36.6093,39.0373,-2.3239,12.9457,0
249.6452,35.8805,38.9610,-2.3249,12.4483,0
248.7029,35.0033,38.8971,-2.3260,10.7654,0
247.9168,34.2576,38.8203,-2.3265,8.7679,0
247.0645,33.4629,38.7377,-2.3272,6.1363,0
246.3008,32.7422,38.6805,-2.3280,4.6288,0
245.5355,32.0256,38.5953,-2.3291,2.5706,0
244.7751,31.3168,38.5148,-2.3348,4.5000,0
243.9679,30.5781,38.4455,-2.3422,8.1264,0
243.1837,29.8456,38.3631,-2.3479,10.5443,0
242.1885,28.9518,38.2572,-2.3502,12.5899,0
241.3689,28.2161,38.1931,-2.3505,13.4531,0
240.4770,27.3961,38.0957,-2.3495,15.0662,0
239.5042,26.5154,38.0022,-2.3483,15.8879,0
238.4584,25.5855,37.9237,-2.3464,17.0160,0
237.3856,24.6204,37.8089,-2.3459,17.3054,0
236.6387,23.9543,37.7279,-2.3476,18.1327,0
235.8820,23.2744,37.6383,-2.3503,18.1951,0
235.1274,22.5830,37.5546,-2.3520,18.4175,0
234.3586,21.9011,37.4842,-2.3527,18.4352,0
233.5739,21.2012,37.4027,-2.3528,18.9951,0
232.7682,20.4816,37.3179,-2.3534,19.3265,0
231.9588,19.7583,37.2240,-2.3538,19.4343,0
231.1602,19.0340,37.1321,-2.3539,19.2436,0
230.3519,18.3168,37.0243,-2.3548,19.6090,0
229.5076,17.5665,36.9410,-2.3544,20.4751,0
228.6747,16.8039,36.8537,-2.3537,20.1298,0
227.8305,16.0618,36.7703,-2.3523,20.2702,0
226.9737,15.2895,36.6593,-2.3509,20.7265,0
226.1169,14.5205,36.5522,-2.3490,20.6565,0
225.2751,13.7718,36.4755,-2.3464,19.9881,0
224.4264,13.0140,36.3772,-2.3432,20.5635,0
223.5724,12.2394,36.2669,-2.3396,20.7574,0
222.7087,11.4570,36.1527,-2.3355,20.8679,0
221.8628,10.6746,36.0566,-2.3324,20.5533,0
221.0123,9.8953,35.9465,-2.3300,20.6464,0
220.1812,9.1029,35.8732,-2.3292,20.4383,0
219.3434,8.3302,35.8029,-2.3300,20.3638,0
218.5261,7.5686,35.7032,-2.3316,20.1653,0
217.7190,6.8161,35.5908,-2.3341,19.5860,0
216.8998,6.0557,35.5066,-2.3370,19.9138,0
216.0841,5.3121,35.4306,-2.3425,19.6617,0
215.2748,4.5589,35.3221,-2.3518,19.9666,0
214.4431,3.8241,35.2342,-2.3616,19.8054,0
213.6145,3.1097,35.1441,-2.3737,19.6315,0
212.7796,2.3957,35.0296,-2.3865,19.6184,0
211.9296,1.7055,34.9361,-2.3998,19.3932,0
211.1153,1.0367,34.8383,-2.4147,18.8409,0
210.2657,0.3772,34.7226,-2.4311,19.3880,0
209.4101,-0.2720,34.6103,-2.4500,19.3857,0
208.5248,-0.9126,34.4997,-2.4701,19.6808,0
207.6243,-1.5709,34.3861,-2.4916,20.1017,0
206.7032,-2.1847,34.2656,-2.5131,19.9921,0
205.7470,-2.7800,34.1370,-2.5355,20.2735,0
204.8073,-3.3787,34.0018,-2.5580,20.0501,0
203.8425,-3.9429,33.8596,-2.5798,20.1493,0
202.8747,-4.4636,33.7260,-2.6013,19.7950,0
201.9062,-4.9586,33.5772,-2.6222,19.6215,0
200.9509,-5.4314,33.4443,-2.6426,19.1590,0
199.9902,-5.8802,33.2935,-2.6626,19.1113,0
199.0267,-6.3078,33.1511,-2.6832,19.0104,0
198.0318,-6.7199,32.9996,-2.7046,19.4961,0
197.0563,-7.1112,32.8427,-2.7255,18.6901,0
196.1065,-7.4587,32.7106,-2.7468,18.0841,0
194.7001,-7.9342,32.4888,-2.7833,17.7860,0
193.3247,-8.3337,32.2814,-2.8239,16.8833,0
191.9918,-8.6736,32.0485,-2.8738,16.4463,0
190.6831,-8.9251,31.8274,-2.9292,15.7446,0
189.4436,-9.0789,31.6311,-2.9832,15.0415,0
188.3053,-9.1585,31.4208,-3.0365,13.2792,0
187.2067,-9.1736,31.2260,-3.0975,13.1597,0
186.1766,-9.1485,31.0339,3.1159,12.0809,0
184.9090,-8.9592,30.7708,3.0107,11.6173,0
183.6767,-8.6680,30.5305,2.8927,10.7628,0
182.5649,-8.3031,30.2910,2.7627,10.7491,0
181.5670,-7.7817,30.1244,2.6331,9.7388,0
180.6322,-7.1837,29.8854,2.5015,10.1386,0
179.8252,-6.4591,29.7017,2.3701,9.9145,0
179.0860,-5.6159,29.5416,2.2366,9.8343,0
178.4402,-4.6580,29.4231,2.1021,10.3441,0
177.9089,-3.6632,29.2859,1.9697,10.3076,0
177.5461,-2.5974,29.2098,1.8433,10.1045,0
177.3223,-1.5287,29.0995,1.7209,9.7123,0
177.1549,-0.3660,29.1347,1.5872,10.9047,0
177.1995,0.7249,29.0626,1.4553,9.1602,0
177.3933,1.7246,29.0453,1.3204,8.8898,0
177.7070,2.7400,29.0535,1.1798,9.9764,0
178.2138,3.6509,29.1192,1.0341,9.3481,0
178.9604,4.5708,29.1834,0.8767,11.2730,0
179.8553,5.4155,29.3462,0.7128,11.3087,0
180.8670,6.1449,29.4485,0.5744,11.0695,0
181.9889,6.7511,29.5573,0.4692,11.6733,0
183.2137,7.2294,29.7135,0.3767,12.1397,0
184.4926,7.6283,29.9238,0.3213,12.4919,0
185.5365,7.8952,30.0727,0.2918,12.8489,0
186.6086,8.1564,30.1978,0.2756,13.3567,0
187.7129,8.4183,30.3579,0.2737,13.6390,0
188.8451,8.6875,30.5220,0.2803,14.0275,0
189.9816,8.9611,30.7155,0.2925,14.2363,0
