PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,33.0008166,129.295809,17.792,251.552,-49.581,1,4929,43,9
2,33.0008147,129.295804,17.792,250.952,-50.881,1,4929,43,9
3,33.0008124,129.295799,17.792,250.252,-52.181,1,4929,43,9
4,33.0008098,129.295794,17.792,249.452,-53.481,1,4929,43,9
5,33.0008069,129.2957891,17.792,248.552,-54.731,1,4929,43,9
6,33.000804,129.2957849,17.792,247.652,-55.831,1,4929,43,9
7,33.000801,129.2957807,17.792,246.752,-56.931,1,4929,43,9
8,33.0007981,129.2957768,17.792,245.852,-57.931,1,4929,43,9
9,33.0007954,129.295773,17.792,245.002,-58.931,1,4929,43,9
10,33.0007928,129.2957691,17.792,244.202,-59.931,1,4929,43,9
11,33.00079,129.2957653,17.792,243.352,-60.931,1,4929,43,9
12,33.0007876,129.2957614,17.792,242.602,-61.931,1,4929,43,9
13,33.0007851,129.2957575,17.792,241.852,-62.931,1,4929,43,9
14,33.0007829,129.2957537,17.792,241.152,-63.931,1,4929,43,9
15,33.0007808,129.2957498,17.792,240.502,-64.931,1,4929,43,9
17,33.0007754,129.2957425,17.792,238.852,-66.831,1,4929,43,9
18,33.0007736,129.2957385,17.792,238.302,-67.881,1,4929,43,9
19,33.0007718,129.2957344,17.792,237.752,-68.931,1,4929,43,9
20,33.00077,129.2957304,17.792,237.202,-69.981,1,4929,43,9
21,33.0007683,129.2957263,17.792,236.652,-71.031,1,4929,43,9
22,33.0007665,129.2957223,17.792,236.102,-72.081,1,4929,43,9
23,33.0007648,129.2957183,17.792,235.602,-73.131,1,4929,43,9
24,33.0007631,129.2957142,17.792,235.052,-74.181,1,4929,43,9
25,33.0007613,129.2957102,17.792,234.502,-75.231,1,4929,43,9
26,33.0007595,129.2957061,17.792,233.952,-76.281,1,4929,43,9
27,33.0007579,129.2957021,17.792,233.452,-77.331,1,4929,43,9
28,33.0007561,129.295698,17.792,232.902,-78.381,1,4929,43,9
29,33.0007543,129.295694,17.792,232.352,-79.431,1,4929,43,9
30,33.0007525,129.2956899,17.792,231.802,-80.481,1,4929,43,9
31,33.0007507,129.2956859,17.792,231.252,-81.531,1,4929,43,9
32,33.0007489,129.2956818,17.792,230.702,-82.581,1,4929,43,9
33,33.0007472,129.2956778,17.792,230.152,-83.631,1,4929,43,9
34,33.0007455,129.2956738,17.792,229.652,-84.681,1,4929,43,9
35,33.0007439,129.2956697,17.792,229.152,-85.731,1,4929,43,9
36,33.0007421,129.2956657,17.792,228.602,-86.781,1,4929,43,9
37,33.0007403,129.2956616,17.792,228.052,-87.831,1,4929,43,9
38,33.0007386,129.2956576,17.792,227.502,-88.881,1,4929,43,9
39,33.0007368,129.2956535,17.792,226.952,-89.931,1,4929,43,9
40,33.000735,129.2956495,17.792,226.402,-90.981,1,4929,43,9
41,33.000733,129.2956454,17.792,225.802,-92.031,1,4929,43,9
42,33.0007306,129.2956414,17.792,225.052,-93.081,1,4929,43,9
43,33.0007282,129.2956383,17.792,224.302,-93.881,1,4929,43,9
44,33.0007257,129.2956352,17.792,223.552,-94.681,1,4929,43,9
45,33.000723,129.2956327,17.792,222.702,-95.331,1,4929,43,9
